field,category,minimal,target_label_dependent,requires_forward_output,large_payload_ref_only,status
dataset_id,identity,1,0,0,0,required
subject_id,identity,1,0,0,0,required
trial_id,trial,1,0,0,0,required
domain_id,trial,1,0,0,0,required
class_label,label,1,1,0,0,required_for_eval_split_only
source_or_target_role,split,1,0,0,0,required
checkpoint_id,checkpoint,1,0,0,0,required
model_hash,checkpoint,1,0,0,0,required_if_available
checkpoint_file_sha256,checkpoint,1,0,0,0,required_if_weights_recovered
seed,checkpoint,1,0,0,0,required
regime,checkpoint,1,0,0,0,required
level,checkpoint,1,0,0,0,required
epoch_or_order,checkpoint,1,0,0,0,required
logits,prediction,1,0,1,0,required
probabilities,prediction,1,0,1,0,required
predicted_class,prediction,1,0,1,0,required
nll,endpoint_component,0,1,0,0,recommended_eval_only
balanced_accuracy_contribution,endpoint_component,0,1,0,0,recommended_eval_only
ece_bin_components,endpoint_component,0,1,0,0,recommended_eval_only
representation_z_path,large_payload_ref,0,0,0,1,optional_external_path
projection_Wz,representation,0,0,0,1,optional
split_label_role,split,1,0,0,0,required
availability_flags,metadata,1,0,0,0,required
preprocess_hash,metadata,1,0,0,0,required
raw_data_fingerprint,metadata,1,0,0,0,required
cache_writer_version,metadata,1,0,0,0,required
