seed,target,level,regime,lag,autocorr
0,1,0,S0_full_support,1,-0.055555555555555546
0,1,0,S0_full_support,2,-0.0588235294117647
0,1,0,S0_full_support,3,-0.06249999999999999
0,1,1,S0_full_support,1,-0.015430334996209173
0,1,1,S0_full_support,2,-0.033149677206589796
0,1,1,S0_full_support,3,-0.3580574370197164
0,2,0,S0_full_support,1,0.7715167498104596
0,2,0,S0_full_support,2,0.5290432684448217
0,2,0,S0_full_support,3,0.2685663272412834
0,2,1,S0_full_support,1,0.6447368421052632
0,2,1,S0_full_support,2,0.5347178145398739
0,2,1,S0_full_support,3,0.33612278224367714
0,3,0,S0_full_support,1,0.6420707920165681
0,3,0,S0_full_support,2,0.6363961030678931
0,3,0,S0_full_support,3,0.49099025303098315
0,3,1,S0_full_support,1,
0,3,1,S0_full_support,2,
0,3,1,S0_full_support,3,
0,4,0,S0_full_support,1,0.16265001215808889
0,4,0,S0_full_support,2,0.13977131156292236
0,4,0,S0_full_support,3,3.5342447256324985e-17
0,4,1,S0_full_support,1,0.7177419354838712
0,4,1,S0_full_support,2,0.4333333333333325
0,4,1,S0_full_support,3,0.14655172413793124
0,5,0,S0_full_support,1,0.5777777777777775
0,5,0,S0_full_support,2,0.447213595499958
0,5,0,S0_full_support,3,0.30988989340045603
0,5,1,S0_full_support,1,-0.05
0,5,1,S0_full_support,2,-0.05263157894736844
0,5,1,S0_full_support,3,-0.055555555555555566
0,6,0,S0_full_support,1,-0.10526315789473692
0,6,0,S0_full_support,2,-0.11111111111111104
0,6,0,S0_full_support,3,-0.11764705882352945
0,6,1,S0_full_support,1,-0.1111111111111111
0,6,1,S0_full_support,2,-0.11764705882352941
0,6,1,S0_full_support,3,-0.08574929257125442
0,7,0,S0_full_support,1,-0.3282439759448874
0,7,0,S0_full_support,2,-0.16854996561581048
0,7,0,S0_full_support,3,0.32500000000000007
0,7,1,S0_full_support,1,0.6470984341213217
0,7,1,S0_full_support,2,0.3985266984930425
0,7,1,S0_full_support,3,0.14142135623730953
0,8,0,S0_full_support,1,-0.130952380952381
0,8,0,S0_full_support,2,0.25
0,8,0,S0_full_support,3,0.06356417261637282
0,8,1,S0_full_support,1,0.11213565339313254
0,8,1,S0_full_support,2,0.161904761904762
0,8,1,S0_full_support,3,-0.07142857142857138
0,9,0,S0_full_support,1,0.4249999999999998
0,9,0,S0_full_support,2,0.6071428571428567
0,9,0,S0_full_support,3,0.19230769230769237
0,9,1,S0_full_support,1,0.10000000000000002
0,9,1,S0_full_support,2,0.2916666666666667
0,9,1,S0_full_support,3,-0.37796447300922725
1,1,0,S0_full_support,1,-0.03846153846153849
1,1,0,S0_full_support,2,-0.04000000000000001
1,1,0,S0_full_support,3,-0.041666666666666595
1,1,1,S0_full_support,1,0.34615384615384603
1,1,1,S0_full_support,2,0.0
1,1,1,S0_full_support,3,-0.022727272727272752
1,2,0,S0_full_support,1,-0.12565617248750863
1,2,0,S0_full_support,2,0.3311330892662613
1,2,0,S0_full_support,3,-0.09637388493048532
1,2,1,S0_full_support,1,0.60418725178348
1,2,1,S0_full_support,2,0.6780789199435618
1,2,1,S0_full_support,3,0.7677718959499137
1,3,0,S0_full_support,1,0.2285714285714286
1,3,0,S0_full_support,2,-0.12664951737226077
1,3,0,S0_full_support,3,0.06675015657623451
1,3,1,S0_full_support,1,0.6871842709362765
1,3,1,S0_full_support,2,
1,3,1,S0_full_support,3,
1,4,0,S0_full_support,1,
1,4,0,S0_full_support,2,
1,4,0,S0_full_support,3,
1,4,1,S0_full_support,1,0.21374668579336073
1,4,1,S0_full_support,2,0.27735009811261463
1,4,1,S0_full_support,3,-0.13762047064079505
1,5,0,S0_full_support,1,0.14999999999999994
1,5,0,S0_full_support,2,-0.16363636363636364
1,5,0,S0_full_support,3,-0.19999999999999996
1,5,1,S0_full_support,1,0.4374999999999995
1,5,1,S0_full_support,2,-0.1333333333333334
1,5,1,S0_full_support,3,-0.14285714285714288
1,6,0,S0_full_support,1,
1,6,0,S0_full_support,2,
1,6,0,S0_full_support,3,
1,6,1,S0_full_support,1,-0.09090909090909093
1,6,1,S0_full_support,2,-0.0657951694959769
1,6,1,S0_full_support,3,-0.06900655593423542
1,7,0,S0_full_support,1,0.06675015657623454
1,7,0,S0_full_support,2,0.26462806201248157
1,7,0,S0_full_support,3,0.25261240114072786
1,7,1,S0_full_support,1,-0.3015113445777637
1,7,1,S0_full_support,2,0.05555555555555556
1,7,1,S0_full_support,3,-0.11111111111111109
1,8,0,S0_full_support,1,0.2666666666666666
1,8,0,S0_full_support,2,-0.24771684715343117
1,8,0,S0_full_support,3,-0.212121212121212
1,8,1,S0_full_support,1,-0.04999999999999998
1,8,1,S0_full_support,2,-0.05263157894736843
1,8,1,S0_full_support,3,-0.05555555555555553
1,9,0,S0_full_support,1,
1,9,0,S0_full_support,2,
1,9,0,S0_full_support,3,
1,9,1,S0_full_support,1,0.2692307692307691
1,9,1,S0_full_support,2,0.08770580193070293
1,9,1,S0_full_support,3,-0.1194880298498108
2,1,0,S0_full_support,1,-0.11111111111111097
2,1,0,S0_full_support,2,0.687184270936278
2,1,0,S0_full_support,3,-0.08574929257125447
2,1,1,S0_full_support,1,0.752380952380952
2,1,1,S0_full_support,2,0.5000000000000002
2,1,1,S0_full_support,3,0.2421052631578948
2,2,0,S0_full_support,1,0.187317162316339
2,2,0,S0_full_support,2,0.17770466332772789
2,2,0,S0_full_support,3,-0.07305950062660083
2,2,1,S0_full_support,1,-0.032258064516129024
2,2,1,S0_full_support,2,
