seed,target,level,regime,neighborhood,n,random_top1_hit_rate,contains_joint_good
0,1,0,S0_full_support,pm1,3,0.0,0
0,1,0,S0_full_support,pm2,5,0.0,0
0,1,0,S0_full_support,pm3,7,0.0,0
0,1,0,S0_full_support,same_joint_good_cluster,2,0.5,1
0,1,0,S0_full_support,epoch_pm20,5,0.0,0
0,1,1,S0_full_support,pm1,3,0.6666666666666666,1
0,1,1,S0_full_support,pm2,5,0.4,1
0,1,1,S0_full_support,pm3,7,0.2857142857142857,1
0,1,1,S0_full_support,same_joint_good_cluster,2,1.0,1
0,1,1,S0_full_support,epoch_pm20,4,0.5,1
0,2,0,S0_full_support,pm1,3,0.6666666666666666,1
0,2,0,S0_full_support,pm2,5,0.6,1
0,2,0,S0_full_support,pm3,6,0.5,1
0,2,0,S0_full_support,same_joint_good_cluster,3,1.0,1
0,2,0,S0_full_support,epoch_pm20,4,0.75,1
0,2,1,S0_full_support,pm1,2,0.5,1
0,2,1,S0_full_support,pm2,3,0.3333333333333333,1
0,2,1,S0_full_support,pm3,4,0.25,1
0,2,1,S0_full_support,same_joint_good_cluster,2,0.5,1
0,2,1,S0_full_support,epoch_pm20,4,0.25,1
0,3,0,S0_full_support,pm1,2,0.5,1
0,3,0,S0_full_support,pm2,3,0.3333333333333333,1
0,3,0,S0_full_support,pm3,4,0.25,1
0,3,0,S0_full_support,same_joint_good_cluster,2,0.5,1
0,3,0,S0_full_support,epoch_pm20,2,0.5,1
0,3,1,S0_full_support,pm1,3,0.0,0
0,3,1,S0_full_support,pm2,5,0.0,0
0,3,1,S0_full_support,pm3,7,0.0,0
0,3,1,S0_full_support,same_joint_good_cluster,1,0.0,0
0,3,1,S0_full_support,epoch_pm20,5,0.0,0
0,4,0,S0_full_support,pm1,3,1.0,1
0,4,0,S0_full_support,pm2,5,1.0,1
0,4,0,S0_full_support,pm3,6,1.0,1
0,4,0,S0_full_support,same_joint_good_cluster,8,1.0,1
0,4,0,S0_full_support,epoch_pm20,3,1.0,1
0,4,1,S0_full_support,pm1,3,0.0,0
0,4,1,S0_full_support,pm2,5,0.2,1
0,4,1,S0_full_support,pm3,6,0.3333333333333333,1
0,4,1,S0_full_support,same_joint_good_cluster,5,0.8,1
