seed,target,level,regime,pair_status,selected_joint_good,order_delta,epoch_delta,bacc_gain_to_nearest_joint,nll_gain_to_nearest_joint,ece_gain_to_nearest_joint,source_score_delta_to_nearest_joint,source_rank_delta_to_nearest_joint,R_src_delta_to_nearest_joint,target_gauge_margin_delta_to_nearest_joint,target_unlabeled_R3_delta_to_nearest_joint,pair_case,gauge_jump_unseen_by_source
0,1,0,S0_full_support,ok,0,7,70.0,0.079861111111111,-0.021504039783423634,0.028934226538118446,0.1774065857890238,0.5263157894736842,-0.14367792872542928,0.079861111111111,-0.1077561294454682,source_correct_or_selected_already_good,0
0,1,1,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,2,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,2,1,S0_full_support,ok,0,1,5.0,0.02083333333333337,0.2050756132655298,0.05316164174919619,0.16006000474129056,0.1111111111111111,-0.048986789542819986,0.045611410249885964,-0.04352719171140751,source_correct_or_selected_already_good,0
0,3,0,S0_full_support,ok,0,1,5.0,0.09895833333333326,0.18391770480451586,0.08466597985004098,0.20967464365112753,0.9090909090909091,-0.013373908997234785,0.09895833333333326,-0.06360161888197313,source_correct_or_selected_already_good,0
0,3,1,S0_full_support,no_joint_good_in_unit,0,,,,,,,,,,,,
0,4,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,4,1,S0_full_support,ok,0,2,20.0,0.10416666666666663,0.40961046747733043,0.21308055643769352,0.08653370978350078,0.1428571428571428,0.07231490884398428,0.10416666666666663,-0.13818143912870634,source_correct_or_selected_already_good,0
0,5,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,5,1,S0_full_support,ok,0,12,120.0,0.022569444444444475,-0.505204629883174,-0.05415058305080489,-0.0509726042574333,-0.047619047619047616,0.009024506005705368,0.022569444444444475,-0.2793045956186804,source_wrong,1
0,6,0,S0_full_support,ok,0,13,90.0,0.05208333333333337,0.016489253751969857,0.0330710144468257,0.05636518355570663,0.1428571428571429,-0.05802322380835301,0.05208333333333337,0.1694459565353651,source_correct_or_selected_already_good,0
0,6,1,S0_full_support,ok,0,2,20.0,0.026041666666666685,0.09635296482281985,0.038688520662203574,-0.12308384826772095,-0.4,0.004222730426893806,0.026041666666666685,0.11748572803360491,source_wrong,1
0,7,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,7,1,S0_full_support,ok,0,5,45.0,0.02083333333333337,0.0934569187792389,0.03377899366621309,0.1431136926966622,0.13043478260869565,-0.046138803835721554,0.02083333333333337,-0.012636144044026687,source_correct_or_selected_already_good,0
0,8,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,8,1,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
0,9,0,S0_full_support,ok,0,5,50.0,0.03298611111111116,0.23016954570019177,0.03815476682875954,0.19209639049113364,0.26086956521739135,-0.014305917773594135,0.03298611111111116,-0.231083083619603,source_correct_or_selected_already_good,0
0,9,1,S0_full_support,ok,0,1,10.0,0.0434027777777779,0.0551823732634138,0.022175578165376797,-0.0389508782183281,-0.16666666666666666,-0.01168816058424349,0.0434027777777779,-0.07353112725446775,source_wrong,1
1,1,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
1,1,1,S0_full_support,ok,0,4,60.0,0.03472222222222221,-0.03890785674690611,0.02460475629542197,-0.00012111914302909144,-0.05882352941176466,-0.0021811051899256473,0.03472222222222221,0.08149921419428374,source_flat,1
1,2,0,S0_full_support,ok,0,9,80.0,0.02777777777777779,0.12337891121961553,0.06335042549317077,0.183558343103983,0.7727272727272727,-0.11263912580573188,0.06335042549317077,-0.03858817816475457,source_correct_or_selected_already_good,0
1,2,1,S0_full_support,ok,0,5,80.0,0.03645833333333337,0.23106167689174195,0.08941563935686897,0.0942996635273044,0.14285714285714285,0.14341741435418287,0.08941563935686897,0.023092677867400047,source_correct_or_selected_already_good,0
1,3,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
1,3,1,S0_full_support,ok,0,10,80.0,0.05034722222222221,0.10777867058923452,0.022665287251443178,-0.03996952352210725,-0.10526315789473684,0.007392959830490042,0.03834848047870976,-0.04901579339080553,source_wrong,1
1,4,0,S0_full_support,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,selected_already_joint_good,0
