seed,target,level,regime,plateau_size,plateau_fraction,plateau_joint_good_rate,plateau_contains_joint_good,selected_joint_good,selected_rank_within_plateau,local_score_range_pm3
0,1,0,S0_full_support,6,0.3,0.0,0,0,4,0.06899699064749201
0,1,1,S0_full_support,2,0.1,0.5,1,1,1,0.3228942593692462
0,2,0,S0_full_support,2,0.07407407407407407,0.5,1,1,2,0.294020981178299
0,2,1,S0_full_support,2,0.07142857142857142,0.0,0,0,1,0.20720029835961934
0,3,0,S0_full_support,2,0.08695652173913043,0.0,0,0,2,0.20967464365112753
0,3,1,S0_full_support,1,0.04,0.0,0,0,1,0.2640130092071834
0,4,0,S0_full_support,3,0.125,1.0,1,1,2,0.12015149255360599
0,4,1,S0_full_support,3,0.08333333333333333,0.3333333333333333,1,0,1,0.13654378634347947
0,5,0,S0_full_support,3,0.15,0.3333333333333333,1,1,2,0.19056623556919106
0,5,1,S0_full_support,4,0.18181818181818182,0.0,0,0,4,0.16614582751318793
0,6,0,S0_full_support,4,0.18181818181818182,0.0,0,0,1,0.15209866405558392
0,6,1,S0_full_support,5,0.23809523809523808,0.0,0,0,2,0.12308384826772095
0,7,0,S0_full_support,4,0.19047619047619047,0.5,1,1,1,0.19834409324518554
0,7,1,S0_full_support,3,0.125,0.0,0,0,1,0.24372065602498783
0,8,0,S0_full_support,2,0.1,0.5,1,1,1,0.41950816218838827
0,8,1,S0_full_support,2,0.08333333333333333,0.5,1,1,2,0.11876884648838787
0,9,0,S0_full_support,1,0.041666666666666664,0.0,0,0,1,0.44954711268329123
0,9,1,S0_full_support,3,0.15789473684210525,0.6666666666666666,1,0,1,0.24728793364071244
1,1,0,S0_full_support,2,0.07142857142857142,0.5,1,1,2,0.16242328445567594
1,1,1,S0_full_support,4,0.2222222222222222,0.25,1,0,2,0.06531051546386457
1,2,0,S0_full_support,3,0.13043478260869565,0.0,0,0,2,0.1782436788804555
1,2,1,S0_full_support,2,0.06896551724137931,0.0,0,0,2,0.28194709152186476
1,3,0,S0_full_support,12,0.42857142857142855,0.16666666666666666,1,1,4,0.3746270593693708
1,3,1,S0_full_support,3,0.15,0.3333333333333333,1,0,2,0.2528385330656394
1,4,0,S0_full_support,2,0.1111111111111111,1.0,1,1,2,0.17198164418414344
1,4,1,S0_full_support,2,0.08333333333333333,1.0,1,1,1,0.10293317259275175
1,5,0,S0_full_support,3,0.16666666666666666,0.3333333333333333,1,1,1,0.34895332163748094
1,5,1,S0_full_support,3,0.15789473684210525,0.0,0,0,3,0.23456337669281074
1,6,0,S0_full_support,1,0.047619047619047616,1.0,1,1,1,0.19322017132777153
1,6,1,S0_full_support,1,0.04,1.0,1,1,1,0.29331047040550623
1,7,0,S0_full_support,4,0.15384615384615385,0.0,0,0,3,0.19513890964590608
1,7,1,S0_full_support,4,0.19047619047619047,0.25,1,0,3,0.22517009124642062
1,8,0,S0_full_support,2,0.08695652173913043,0.0,0,0,1,0.28069300857255625
1,8,1,S0_full_support,4,0.18181818181818182,0.0,0,0,3,0.08701807614509693
1,9,0,S0_full_support,1,0.045454545454545456,1.0,1,1,1,0.24968366404969347
1,9,1,S0_full_support,2,0.1,1.0,1,1,2,0.29545046551795695
2,1,0,S0_full_support,5,0.23809523809523808,0.8,1,1,3,0.16322198026137308
2,1,1,S0_full_support,6,0.2222222222222222,0.16666666666666666,1,0,3,0.10551705827704722
2,2,0,S0_full_support,3,0.11538461538461539,0.3333333333333333,1,1,3,0.2567282736010841
2,2,1,S0_full_support,3,0.09090909090909091,0.0,0,0,3,0.11326530786695976
2,3,0,S0_full_support,1,0.045454545454545456,0.0,0,0,1,0.4092572227337914
2,3,1,S0_full_support,3,0.08823529411764706,0.0,0,0,2,0.42181869508792375
2,4,0,S0_full_support,15,0.4838709677419355,1.0,1,1,7,0.005998653055000261
2,4,1,S0_full_support,1,0.05,1.0,1,1,1,0.23629967283825473
2,5,0,S0_full_support,7,0.3181818181818182,0.0,0,0,3,0.10016677969102422
2,5,1,S0_full_support,5,0.2,0.0,0,0,3,0.1379093610765906
2,6,0,S0_full_support,2,0.08695652173913043,0.5,1,0,2,0.1804154787197918
2,6,1,S0_full_support,4,0.2,1.0,1,1,4,0.1739351810087778
2,7,0,S0_full_support,3,0.14285714285714285,0.3333333333333333,1,0,1,0.09839121353005753
2,7,1,S0_full_support,3,0.13043478260869565,0.3333333333333333,1,0,1,0.10799375182271942
2,8,0,S0_full_support,4,0.17391304347826086,0.0,0,0,3,0.06801433000312573
2,8,1,S0_full_support,1,0.05555555555555555,1.0,1,1,1,0.16476522327019327
2,9,0,S0_full_support,4,0.16666666666666666,0.25,1,1,3,0.1604112844318784
2,9,1,S0_full_support,16,0.5333333333333333,0.9375,1,1,15,0.004494968325534532
0,1,0,S2_rare_cells,2,0.1,0.0,0,0,1,0.0834246384062933
0,1,1,S2_rare_cells,3,0.15,0.6666666666666666,1,1,1,0.27455261409658127
0,2,0,S2_rare_cells,5,0.18518518518518517,0.8,1,1,2,0.20239044371893833
0,2,1,S2_rare_cells,1,0.03571428571428571,0.0,0,0,1,0.2568950869972751
0,3,0,S2_rare_cells,2,0.08695652173913043,0.0,0,0,1,0.12413745544001209
0,3,1,S2_rare_cells,2,0.08,0.0,0,0,1,0.17454239612723532
0,4,0,S2_rare_cells,3,0.125,1.0,1,1,2,0.13248682563126404
0,4,1,S2_rare_cells,4,0.1111111111111111,0.25,1,0,4,0.12447446418225525
0,5,0,S2_rare_cells,2,0.1,0.5,1,1,2,0.19714718745248352
0,5,1,S2_rare_cells,3,0.13636363636363635,0.0,0,0,1,0.192845484209592
0,6,0,S2_rare_cells,3,0.13636363636363635,0.0,0,0,2,0.23405476156347155
0,6,1,S2_rare_cells,2,0.09523809523809523,0.0,0,0,1,0.1406070316483473
0,7,0,S2_rare_cells,5,0.23809523809523808,0.4,1,1,3,0.3036369617977503
0,7,1,S2_rare_cells,4,0.16666666666666666,0.0,0,0,3,0.3588699775421122
0,8,0,S2_rare_cells,2,0.1,0.5,1,1,1,0.27118680431398756
0,8,1,S2_rare_cells,3,0.125,0.6666666666666666,1,1,3,0.12231951263325758
0,9,0,S2_rare_cells,3,0.125,0.0,0,0,2,0.3269611124431101
0,9,1,S2_rare_cells,2,0.10526315789473684,0.5,1,0,2,0.1715715797224119
1,1,0,S2_rare_cells,1,0.03571428571428571,1.0,1,1,1,0.20432326271395154
1,1,1,S2_rare_cells,1,0.05555555555555555,0.0,0,0,1,0.09246819089707475
1,2,0,S2_rare_cells,1,0.043478260869565216,0.0,0,0,1,0.22515236245587128
1,2,1,S2_rare_cells,1,0.034482758620689655,0.0,0,0,1,0.31077505339932143
1,3,0,S2_rare_cells,4,0.14285714285714285,0.75,1,1,2,0.29852511729347675
1,3,1,S2_rare_cells,4,0.2,0.25,1,0,2,0.21409852978731492
1,4,0,S2_rare_cells,5,0.2777777777777778,1.0,1,1,4,0.1297532052471754
1,4,1,S2_rare_cells,4,0.16666666666666666,1.0,1,1,4,0.09926438046617667
1,5,0,S2_rare_cells,1,0.05555555555555555,1.0,1,1,1,0.4217438898674064
1,5,1,S2_rare_cells,2,0.10526315789473684,0.0,0,0,1,0.2575086464589548
1,6,0,S2_rare_cells,4,0.19047619047619047,1.0,1,1,4,0.1683642346390148
1,6,1,S2_rare_cells,2,0.08,0.5,1,1,2,0.22721493559277667
1,7,0,S2_rare_cells,7,0.2692307692307692,0.2857142857142857,1,0,6,0.20357215971432802
1,7,1,S2_rare_cells,6,0.2857142857142857,0.3333333333333333,1,0,6,0.24053943058492322
1,8,0,S2_rare_cells,7,0.30434782608695654,0.14285714285714285,1,0,3,0.11528168431547958
1,8,1,S2_rare_cells,4,0.18181818181818182,0.0,0,0,3,0.0845990910058928
1,9,0,S2_rare_cells,1,0.045454545454545456,1.0,1,1,1,0.23067214697485283
1,9,1,S2_rare_cells,3,0.15,1.0,1,1,2,0.29222385318762045
2,1,0,S2_rare_cells,5,0.23809523809523808,0.8,1,1,4,0.19273509945354472
2,1,1,S2_rare_cells,1,0.037037037037037035,0.0,0,0,1,0.16505544164059532
2,2,0,S2_rare_cells,4,0.15384615384615385,0.25,1,1,2,0.23219683671900765
2,2,1,S2_rare_cells,2,0.06060606060606061,0.0,0,0,1,0.1814898097304482
2,3,0,S2_rare_cells,2,0.09090909090909091,0.0,0,0,2,0.4013056295856552
2,3,1,S2_rare_cells,3,0.08823529411764706,0.0,0,0,2,0.3147855984397735
2,4,0,S2_rare_cells,15,0.4838709677419355,1.0,1,1,8,0.004723151266361247
