strategy,info_class,neighborhood,mean_local_pairwise_auc,top1_hit_rate,local_random_top1_hit_rate,top1_enrichment
source_score,source_only,epoch_pm20,0.6454455266955267,0.5246913580246914,0.4283730158730159,1.2248468941382327
source_score,source_only,pm1,0.47058823529411764,0.41975308641975306,0.41975308641975306,1.0
source_score,source_only,pm2,0.6157407407407407,0.49382716049382713,0.4160493827160494,1.1869436201780414
source_score,source_only,pm3,0.6025034293552812,0.46296296296296297,0.40282186948853616,1.1492994746059544
source_score,source_only,same_joint_good_cluster,0.7133450911228689,0.845679012345679,0.7397927689594356,1.1431296003814406
R_src,source_only_R_src,epoch_pm20,0.36553030303030304,0.4074074074074074,0.4283730158730159,0.9510575883896865
R_src,source_only_R_src,pm1,0.4117647058823529,0.3888888888888889,0.41975308641975306,0.9264705882352942
R_src,source_only_R_src,pm2,0.3958333333333333,0.4074074074074074,0.4160493827160494,0.9792284866468841
R_src,source_only_R_src,pm3,0.34393004115226333,0.37037037037037035,0.40282186948853616,0.9194395796847635
R_src,source_only_R_src,same_joint_good_cluster,0.3074074074074074,0.6111111111111112,0.7397927689594356,0.8260571564800192
robust_core_score,C19_robust_core_scalar,epoch_pm20,0.6097041847041846,0.5185185185185185,0.4283730158730159,1.2104369306777827
robust_core_score,C19_robust_core_scalar,pm1,0.5392156862745098,0.4567901234567901,0.41975308641975306,1.088235294117647
robust_core_score,C19_robust_core_scalar,pm2,0.6655092592592593,0.5432098765432098,0.4160493827160494,1.3056379821958455
robust_core_score,C19_robust_core_scalar,pm3,0.6067901234567901,0.5185185185185185,0.40282186948853616,1.287215411558669
robust_core_score,C19_robust_core_scalar,same_joint_good_cluster,0.7670781893004116,0.8518518518518519,0.7397927689594356,1.1514736120630569
c30_source_rank,C30_source_rank,epoch_pm20,0.6454455266955267,0.5246913580246914,0.4283730158730159,1.2248468941382327
c30_source_rank,C30_source_rank,pm1,0.47058823529411764,0.41975308641975306,0.41975308641975306,1.0
c30_source_rank,C30_source_rank,pm2,0.6157407407407407,0.49382716049382713,0.4160493827160494,1.1869436201780414
c30_source_rank,C30_source_rank,pm3,0.6025034293552812,0.46296296296296297,0.40282186948853616,1.1492994746059544
c30_source_rank,C30_source_rank,same_joint_good_cluster,0.7133450911228689,0.845679012345679,0.7397927689594356,1.1431296003814406
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,epoch_pm20,0.46241883116883115,0.3888888888888889,0.4283730158730159,0.9078276980083372
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm1,0.5,0.4444444444444444,0.41975308641975306,1.0588235294117647
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm2,0.6041666666666666,0.4444444444444444,0.4160493827160494,1.0682492581602372
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm3,0.5643004115226338,0.42592592592592593,0.40282186948853616,1.0573555166374782
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,same_joint_good_cluster,0.4654320987654321,0.7037037037037037,0.7397927689594356,0.9512173317042645
target_grouped_centered_score,target_grouped_non_deployable,epoch_pm20,0.6454455266955267,0.5246913580246914,0.4283730158730159,1.2248468941382327
target_grouped_centered_score,target_grouped_non_deployable,pm1,0.47058823529411764,0.41975308641975306,0.41975308641975306,1.0
target_grouped_centered_score,target_grouped_non_deployable,pm2,0.6157407407407407,0.49382716049382713,0.4160493827160494,1.1869436201780414
target_grouped_centered_score,target_grouped_non_deployable,pm3,0.6025034293552812,0.46296296296296297,0.40282186948853616,1.1492994746059544
target_grouped_centered_score,target_grouped_non_deployable,same_joint_good_cluster,0.7133450911228689,0.845679012345679,0.7397927689594356,1.1431296003814406
target_label_oracle_score,target_label_oracle_non_deployable,epoch_pm20,1.0,0.6481481481481481,0.4283730158730159,1.5130461633472285
target_label_oracle_score,target_label_oracle_non_deployable,pm1,1.0,0.5740740740740741,0.41975308641975306,1.3676470588235294
target_label_oracle_score,target_label_oracle_non_deployable,pm2,1.0,0.6481481481481481,0.4160493827160494,1.5578635014836795
target_label_oracle_score,target_label_oracle_non_deployable,pm3,1.0,0.6666666666666666,0.40282186948853616,1.6549912434325744
target_label_oracle_score,target_label_oracle_non_deployable,same_joint_good_cluster,1.0,0.9444444444444444,0.7397927689594356,1.2766337872873021
