seed,target,level,regime,order_a,order_b,transition_type,source_score_gradient,R_src_gradient,rank_gradient,target_gauge_margin_gradient,target_unlabeled_R3_gradient,source_sign_agrees_with_transition,rank_sign_agrees_with_transition,target_gauge_jump
0,1,0,S0_full_support,0,1,bad_to_bad,0.11124447021341516,-0.04629622433949243,0.3157894736842105,-0.022569444444444475,0.010982022503338185,,,1
0,1,0,S0_full_support,1,2,bad_to_bad,-0.14017159135430696,0.005407749301597264,-0.42105263157894735,-0.01909722222222221,0.07564400478766287,,,0
0,1,0,S0_full_support,2,3,bad_to_bad,0.0038741303381062964,0.058521873640653754,0.05263157894736836,0.01909722222222221,0.017847062806271408,,,0
0,1,0,S0_full_support,3,4,bad_to_bad,0.0849464067294533,0.023752558173178562,0.21052631578947367,0.017361111111111105,0.015855335458314135,,,0
0,1,0,S0_full_support,4,5,bad_to_bad,-0.001477829041354628,-0.07133744652332585,-0.05263157894736836,0.041666666666666685,-0.03620884565686355,,,1
0,1,0,S0_full_support,5,6,bad_to_bad,0.02386317493390816,-0.04520696325841689,0.1578947368421052,-0.034722222222222265,-0.021022695405627678,,,1
0,1,0,S0_full_support,6,7,bad_to_bad,-0.01564447258174534,-0.011149454245669377,-0.05263157894736836,0.04513888888888895,-0.03536878488876777,,,1
0,1,0,S0_full_support,7,8,bad_to_good,-0.050798717781777636,0.015788011691857617,-0.1578947368421053,0.012152777777777679,0.042582565360768265,0,0,0
0,1,0,S0_full_support,8,9,good_to_bad,-0.13714564150331404,0.13150111005261755,-0.2631578947368421,-0.04513888888888884,0.0309190718722549,1,1,1
0,1,0,S0_full_support,9,10,bad_to_bad,-0.017426921564653863,0.040153904735636514,-0.05263157894736842,-0.04513888888888884,0.0568272597192187,,,1
0,1,0,S0_full_support,10,11,bad_to_bad,-0.017579677290681495,-0.01887469905450745,-0.10526315789473684,0.02951388888888884,-0.06815026532377327,,,1
0,1,0,S0_full_support,11,12,bad_to_bad,-0.004176592834968018,0.012219604430339537,-0.05263157894736842,-0.006944444444444364,0.039777524242791906,,,0
0,1,0,S0_full_support,12,13,bad_to_bad,-0.019191716432218203,-0.02679655332217079,-0.15789473684210525,0.005208333333333259,0.10152991342495249,,,0
0,1,0,S0_full_support,13,14,bad_to_bad,0.06656087551032011,0.03270506625195879,0.42105263157894735,-0.02951388888888884,-0.05191290107729679,,,1
0,1,0,S0_full_support,14,15,bad_to_bad,-0.048446911673508286,-0.027230504368444874,-0.3157894736842105,0.01215277777777779,-0.0012344734126797374,,,0
0,1,0,S0_full_support,15,16,bad_to_bad,0.015937676583108906,0.028589657901947008,0.15789473684210525,0.026041666666666574,0.04887644182647288,,,1
0,1,0,S0_full_support,16,17,bad_to_bad,-0.03648775555709263,-0.00030079528309456816,-0.3157894736842105,-0.039930555555555525,-0.011090595029466077,,,1
0,1,0,S0_full_support,17,18,bad_to_bad,0.004395219956526336,-0.03773958050792481,0.10526315789473684,0.00347222222222221,-0.10559679914721187,,,0
0,1,0,S0_full_support,18,19,bad_to_bad,-0.06103894734740256,0.02770814119935494,-0.15789473684210525,0.046875,0.01467290223776796,,,1
0,1,1,S0_full_support,0,1,good_to_bad,-0.20384658277171946,-0.011937260273077399,-0.47368421052631576,-0.17958765912109542,-0.24648285738073308,1,1,1
0,1,1,S0_full_support,1,2,bad_to_bad,0.20870081718344297,-0.11550136762189478,0.5263157894736842,0.06847654800998437,0.29259281263326475,,,1
0,1,1,S0_full_support,2,3,bad_to_bad,0.023403608289148725,0.0052767836148632785,0.052631578947368474,-0.00347222222222221,-0.0866245359479878,,,0
0,1,1,S0_full_support,3,4,bad_to_bad,-0.04349666049824796,0.11748049841596564,-0.21052631578947373,0.0625,-0.013078082750219544,,,1
0,1,1,S0_full_support,4,5,bad_to_bad,0.10369379834563947,-0.007057627483610052,0.4210526315789474,-0.06986460714090577,0.00858753924537542,,,1
0,1,1,S0_full_support,5,6,bad_to_bad,-0.23077654283041504,0.009780071711490201,-0.736842105263158,0.02298960714090577,-0.03814312891991167,,,1
0,1,1,S0_full_support,6,7,bad_to_good,0.2022110901466922,0.013433775015235128,0.631578947368421,0.09027777777777779,0.029216017461369037,1,1,1
0,1,1,S0_full_support,7,8,good_to_bad,0.052839259541389294,-0.04989356132191458,0.21052631578947367,-0.0625,0.0792088001660558,0,0,1
0,1,1,S0_full_support,8,9,bad_to_good,0.03178902022228791,-0.05453831755385863,0.05263157894736836,0.05902777777777779,-0.021932435995342836,1,1,1
0,1,1,S0_full_support,9,10,good_to_bad,-0.03801766511009341,-0.03351456473159542,-0.10526315789473684,-0.014146981651220983,-0.023565289668728506,1,1,0
0,1,1,S0_full_support,10,11,bad_to_bad,0.09658180226507063,-0.03546275181716341,0.1578947368421053,-0.0020163957734839343,0.004008433942118805,,,0
