field,source_only_view,target_construction_view,target_evaluation_view,same_label_oracle_view,conditional_cs_diagnostic_view,target_label_dependent
trial_cache_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
checkpoint_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
checkpoint_path_hash,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
checkpoint_sidecar_hash,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
dataset_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
subject_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
target_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
source_or_target_role,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
trajectory_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
seed,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
fold,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
regime,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
epoch_or_step,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
trial_id,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
class_label_quarantined,masked,masked_on_eval_rows,masked_on_construct_rows,diagnostic_only,diagnostic_only_with_flags,1
y_true_quarantined,masked,masked_on_eval_rows,masked_on_construct_rows,diagnostic_only,diagnostic_only_with_flags,1
y_pred,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
logits,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
probabilities,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
confidence,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
margin,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
entropy,masked,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
split_role_for_future_split_label,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
availability_tags,visible_key_or_metadata,visible,visible,diagnostic_only,diagnostic_only_with_flags,0
