field,present,nonempty_count,required,status
availability_tags,1,3456,0,pass
checkpoint_id,1,3456,1,pass
checkpoint_path_hash,1,3456,0,pass
checkpoint_sidecar_hash,1,3456,0,pass
class_label_quarantined,1,3456,1,pass
confidence,1,3456,1,pass
dataset_id,1,3456,1,pass
entropy,1,3456,1,pass
epoch_or_step,1,3456,1,pass
fold,1,3456,0,pass
level,0,0,1,missing
logits,1,3456,1,pass
margin,1,3456,1,pass
probabilities,1,3456,1,pass
regime,1,3456,1,pass
seed,1,3456,1,pass
source_or_target_role,1,3456,0,pass
split_role_for_future_split_label,1,3456,1,pass
subject_id,1,3456,0,pass
target_id,1,3456,1,pass
trajectory_id,1,3456,0,pass
trial_cache_id,1,3456,1,pass
trial_id,1,3456,1,pass
y_pred,1,3456,1,pass
y_true_quarantined,1,3456,1,pass
