unit_id,artifact_kind,path,bytes,expected_sha256,observed_sha256,replay_pass,verification_mode
c84l1_000d62b62a7bf8f26b4627e0c5504d0f,target_artifact,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/complete_target_unlabeled_v2/c84l1_000d62b62a7bf8f26b4627e0c5504d0f.npz,30989894,0fdeae7e9ee4db280b98c176c7f84610908b6f7d6152807e48cac2c2c990eff3,0fdeae7e9ee4db280b98c176c7f84610908b6f7d6152807e48cac2c2c990eff3,1,stream_sha256
c84l1_000d62b62a7bf8f26b4627e0c5504d0f,target_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/target_context_digest_index_v2/c84l1_000d62b62a7bf8f26b4627e0c5504d0f.json,8503,a5bd020bbf30ecfbc58b6c68fa2a09e9c258a9cdf0b50be8f5b648e0cfc008a8,a5bd020bbf30ecfbc58b6c68fa2a09e9c258a9cdf0b50be8f5b648e0cfc008a8,1,stream_sha256
c84l1_000d62b62a7bf8f26b4627e0c5504d0f,source_audit,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/Cho2017/panel_B/seed_5/level_1/source_audit/c84l1_000d62b62a7bf8f26b4627e0c5504d0f.npz,17985,af020ceef3b6ce738302a70ac678a02e1eb3a9f4a7ba1a2d4a2f5f252bd9ece2,af020ceef3b6ce738302a70ac678a02e1eb3a9f4a7ba1a2d4a2f5f252bd9ece2,1,stream_sha256
c84l1_000d62b62a7bf8f26b4627e0c5504d0f,training_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/Cho2017/panel_B/seed_5/level_1/sidecars/c84l1_000d62b62a7bf8f26b4627e0c5504d0f.json,4351,d7465ec44022f0154a510eb3f7adea47338207cd3156fab5fbf864db8d7d0471,d7465ec44022f0154a510eb3f7adea47338207cd3156fab5fbf864db8d7d0471,1,stream_sha256
c84l1_00133829c50564d711bcb6b6f63e016b,target_artifact,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/complete_target_unlabeled_v2/c84l1_00133829c50564d711bcb6b6f63e016b.npz,30908173,48c5c516d0cbdf0c30584e9930f45c4fb03d6ecdb078f297a2665ce6b698fd85,48c5c516d0cbdf0c30584e9930f45c4fb03d6ecdb078f297a2665ce6b698fd85,1,stream_sha256
c84l1_00133829c50564d711bcb6b6f63e016b,target_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/target_context_digest_index_v2/c84l1_00133829c50564d711bcb6b6f63e016b.json,8498,1660df42c69a8cd4a69f94bc619b782777dd595a7c633a5c486fd8f45b1ed39c,1660df42c69a8cd4a69f94bc619b782777dd595a7c633a5c486fd8f45b1ed39c,1,stream_sha256
c84l1_00133829c50564d711bcb6b6f63e016b,source_audit,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/Cho2017/panel_B/seed_6/level_1/source_audit/c84l1_00133829c50564d711bcb6b6f63e016b.npz,18077,8d886ccf09c9250e18547e83f24814596b9fd2fde996b6aef6af8be5cf45e7ac,8d886ccf09c9250e18547e83f24814596b9fd2fde996b6aef6af8be5cf45e7ac,1,stream_sha256
c84l1_00133829c50564d711bcb6b6f63e016b,training_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/Cho2017/panel_B/seed_6/level_1/sidecars/c84l1_00133829c50564d711bcb6b6f63e016b.json,4306,cfcaa37c42caab146d4bd4b6ece6b0bde8b5fed9f5e1cd5fd40afcde5f614ccc,cfcaa37c42caab146d4bd4b6ece6b0bde8b5fed9f5e1cd5fd40afcde5f614ccc,1,stream_sha256
c84l1_0069c4248758733b79002b1254f81d4f,target_artifact,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/complete_target_unlabeled_v2/c84l1_0069c4248758733b79002b1254f81d4f.npz,26477511,b2f35c49a72d0a237de82b9ad2dc519caceb55af450e6a335df4dbf9f65a6b55,b2f35c49a72d0a237de82b9ad2dc519caceb55af450e6a335df4dbf9f65a6b55,1,stream_sha256
c84l1_0069c4248758733b79002b1254f81d4f,target_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/target_context_digest_index_v2/c84l1_0069c4248758733b79002b1254f81d4f.json,19901,8c9f32f03afacaa7c6c4a176d163c7bd624ecabdbf4f6569c64db293f3c7920b,8c9f32f03afacaa7c6c4a176d163c7bd624ecabdbf4f6569c64db293f3c7920b,1,stream_sha256
c84l1_0069c4248758733b79002b1254f81d4f,source_audit,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_A/seed_6/level_1/source_audit/c84l1_0069c4248758733b79002b1254f81d4f.npz,5760,a5cdcc259b201d7dc1797ba25f1b9f6879466307368d863d78fafce9b8e66b64,a5cdcc259b201d7dc1797ba25f1b9f6879466307368d863d78fafce9b8e66b64,1,stream_sha256
c84l1_0069c4248758733b79002b1254f81d4f,training_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_A/seed_6/level_1/sidecars/c84l1_0069c4248758733b79002b1254f81d4f.json,4339,d2975e90a8a0593f0674e3c631a2f50281e2859b3fc9308b443370abab09acff,d2975e90a8a0593f0674e3c631a2f50281e2859b3fc9308b443370abab09acff,1,stream_sha256
c84l1_0099f60cb3b4c89831d36688710bba11,target_artifact,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/complete_target_unlabeled_v2/c84l1_0099f60cb3b4c89831d36688710bba11.npz,26465711,580f340d64b5f1dff02ad7f5a413a7d24368710e2a3e9697e35953bbe3b76cf9,580f340d64b5f1dff02ad7f5a413a7d24368710e2a3e9697e35953bbe3b76cf9,1,stream_sha256
c84l1_0099f60cb3b4c89831d36688710bba11,target_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/target_context_digest_index_v2/c84l1_0099f60cb3b4c89831d36688710bba11.json,19895,d96c6c9e61eaab718cce559b48b6ee40c482cd67d97af0fae32e311d8b284392,d96c6c9e61eaab718cce559b48b6ee40c482cd67d97af0fae32e311d8b284392,1,stream_sha256
c84l1_0099f60cb3b4c89831d36688710bba11,source_audit,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_B/seed_5/level_1/source_audit/c84l1_0099f60cb3b4c89831d36688710bba11.npz,5769,5dcae39af330e531b15ff175ebdc9fb3e0e4d5727474235e33370773d0c72dd5,5dcae39af330e531b15ff175ebdc9fb3e0e4d5727474235e33370773d0c72dd5,1,stream_sha256
c84l1_0099f60cb3b4c89831d36688710bba11,training_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_B/seed_5/level_1/sidecars/c84l1_0099f60cb3b4c89831d36688710bba11.json,4337,81e7c3037d7e5b20f64cc8e3694c6eeced052a25a4c82867245a9c91bb92838b,81e7c3037d7e5b20f64cc8e3694c6eeced052a25a4c82867245a9c91bb92838b,1,stream_sha256
c84l1_00b03f70e02cea51b1792f0a29d91031,target_artifact,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/complete_target_unlabeled_v2/c84l1_00b03f70e02cea51b1792f0a29d91031.npz,26491177,b75919bd3876c011a80bb4b2cd87ac6c9f4a2e15fdf7faf893800a9b1cc59e27,b75919bd3876c011a80bb4b2cd87ac6c9f4a2e15fdf7faf893800a9b1cc59e27,1,stream_sha256
c84l1_00b03f70e02cea51b1792f0a29d91031,target_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-target-replay-v2/lock_f0c369ee273352b47e36/target_context_digest_index_v2/c84l1_00b03f70e02cea51b1792f0a29d91031.json,19901,d51ec3eea208b6e348c5626c1fabe954288e6105a689ac4500869b26c739b97b,d51ec3eea208b6e348c5626c1fabe954288e6105a689ac4500869b26c739b97b,1,stream_sha256
c84l1_00b03f70e02cea51b1792f0a29d91031,source_audit,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_A/seed_6/level_1/source_audit/c84l1_00b03f70e02cea51b1792f0a29d91031.npz,5749,af14f8a3a9fb06a59fe6aa2cdde8a82cbd79e84076e46abf9419708f1f33a8d2,af14f8a3a9fb06a59fe6aa2cdde8a82cbd79e84076e46abf9419708f1f33a8d2,1,stream_sha256
c84l1_00b03f70e02cea51b1792f0a29d91031,training_sidecar,/projects/EEG-foundation-model/yinghao/oaci-c84-full-field-v1/lock_f9df9dcefea59b05bfea/new_model_field/PhysionetMI/panel_A/seed_6/level_1/sidecars/c84l1_00b03f70e02cea51b1792f0a29d91031.json,4378,df1aeea180535ea0145f514c3d9c9d025a538c5091614087c992f41ae28b426e,df1aeea180535ea0145f514c3d9c9d025a538c5091614087c992f41ae28b426e,1,stream_sha256
