dataset,subject,seed,dict_rank,status,reason
BNCI2014_001,1,0,10,ok,
BNCI2014_001,1,1,10,ok,
BNCI2014_001,1,2,10,ok,
BNCI2014_001,2,0,10,ok,
BNCI2014_001,2,1,10,ok,
BNCI2014_001,2,2,10,ok,
BNCI2014_001,3,0,10,ok,
BNCI2014_001,3,1,10,ok,
BNCI2014_001,3,2,10,ok,
BNCI2014_001,4,0,10,ok,
BNCI2014_001,4,1,10,ok,
BNCI2014_001,4,2,10,ok,
BNCI2014_001,5,0,10,ok,
BNCI2014_001,5,1,10,ok,
BNCI2014_001,5,2,10,ok,
BNCI2014_001,6,0,10,ok,
BNCI2014_001,6,1,10,ok,
BNCI2014_001,6,2,10,ok,
BNCI2014_001,7,0,10,ok,
BNCI2014_001,7,1,10,ok,
BNCI2014_001,7,2,10,ok,
BNCI2014_001,8,0,10,ok,
BNCI2014_001,8,1,10,ok,
BNCI2014_001,8,2,10,ok,
BNCI2014_001,9,0,10,ok,
BNCI2014_001,9,1,10,ok,
BNCI2014_001,9,2,10,ok,
BNCI2015_001,10,0,10,ok,
BNCI2015_001,10,1,10,ok,
BNCI2015_001,10,2,10,ok,
BNCI2015_001,11,0,10,ok,
BNCI2015_001,11,1,10,ok,
BNCI2015_001,11,2,10,ok,
BNCI2015_001,12,0,10,ok,
BNCI2015_001,12,1,10,ok,
BNCI2015_001,12,2,10,ok,
BNCI2015_001,1,0,10,ok,
BNCI2015_001,1,1,10,ok,
BNCI2015_001,1,2,10,ok,
BNCI2015_001,2,0,10,ok,
BNCI2015_001,2,1,10,ok,
BNCI2015_001,2,2,10,ok,
BNCI2015_001,3,0,10,ok,
BNCI2015_001,3,1,10,ok,
BNCI2015_001,3,2,10,ok,
BNCI2015_001,4,0,10,ok,
BNCI2015_001,4,1,10,ok,
BNCI2015_001,4,2,10,ok,
BNCI2015_001,5,0,10,ok,
BNCI2015_001,5,1,10,ok,
BNCI2015_001,5,2,10,ok,
BNCI2015_001,6,0,10,ok,
BNCI2015_001,6,1,10,ok,
BNCI2015_001,6,2,10,ok,
BNCI2015_001,7,0,10,ok,
BNCI2015_001,7,1,10,ok,
BNCI2015_001,7,2,10,ok,
BNCI2015_001,8,0,10,ok,
BNCI2015_001,8,1,10,ok,
BNCI2015_001,8,2,10,ok,
BNCI2015_001,9,0,10,ok,
BNCI2015_001,9,1,10,ok,
BNCI2015_001,9,2,10,ok,
