dataset,subject,seed,npz_path,npz_sha256,latent_dim,n_source,n_cal,n_query,sessions
BNCI2014_001,1,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub1_erm_lam0_seed0.npz,9b4ba55343edbaa5,16,4608,288,288,0train|1test
BNCI2014_001,2,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub2_erm_lam0_seed0.npz,b60ec755a668d9e7,16,4608,288,288,0train|1test
BNCI2014_001,3,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub3_erm_lam0_seed0.npz,74001b7f0391bc30,16,4608,288,288,0train|1test
BNCI2014_001,4,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub4_erm_lam0_seed0.npz,e747595f0796aec3,16,4608,288,288,0train|1test
BNCI2014_001,5,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub5_erm_lam0_seed0.npz,efdf73e613b5a53e,16,4608,288,288,0train|1test
BNCI2014_001,6,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub6_erm_lam0_seed0.npz,2446abfdf7807d99,16,4608,288,288,0train|1test
BNCI2014_001,7,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub7_erm_lam0_seed0.npz,4bfb07ea233d25fe,16,4608,288,288,0train|1test
BNCI2014_001,8,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub8_erm_lam0_seed0.npz,d075c1326ccf7646,16,4608,288,288,0train|1test
BNCI2014_001,9,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/sub9_erm_lam0_seed0.npz,7ec4effe304bd057,16,4608,288,288,0train|1test
BNCI2015_001,10,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub10_erm_lam0_seed0.npz,d704aa0c458293a8,16,5000,200,400,0A|1B|2C
BNCI2015_001,11,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub11_erm_lam0_seed0.npz,c619526e1ec1785d,16,5000,200,400,0A|1B|2C
BNCI2015_001,12,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub12_erm_lam0_seed0.npz,4370eaf49d85b0ff,16,5200,200,200,0A|1B
BNCI2015_001,1,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub1_erm_lam0_seed0.npz,17cf039f4276516f,16,5200,200,200,0A|1B
BNCI2015_001,2,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub2_erm_lam0_seed0.npz,62679fac3bbb965f,16,5200,200,200,0A|1B
BNCI2015_001,3,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub3_erm_lam0_seed0.npz,5c5b2360466ca55a,16,5200,200,200,0A|1B
BNCI2015_001,4,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub4_erm_lam0_seed0.npz,424693e4b10d1e60,16,5200,200,200,0A|1B
BNCI2015_001,5,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub5_erm_lam0_seed0.npz,88d76880619e4dee,16,5200,200,200,0A|1B
BNCI2015_001,6,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub6_erm_lam0_seed0.npz,f82ba07b85723787,16,5200,200,200,0A|1B
BNCI2015_001,7,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub7_erm_lam0_seed0.npz,13e4ac5cfafab2e3,16,5200,200,200,0A|1B
BNCI2015_001,8,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub8_erm_lam0_seed0.npz,8e1a15ad4c04df2c,16,5000,200,400,0A|1B|2C
BNCI2015_001,9,0,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2015_001_EEGNet_LOSO/sub9_erm_lam0_seed0.npz,dc5e861e5559cfbb,16,5000,200,400,0A|1B|2C
