dataset,panel,training_seed,level,candidate_index,unit_id,regime,epoch,trajectory_order,level_intervention_id,target_artifact_sha256
Cho2017,A,5,0,0,c84v2_385a892d09aafb68300c5641c4a30674,ERM,199,0,C84_LEVEL0_FULL_SOURCE_PANEL_V1,4d793bf9444dfdb599b901c82fcc28befe0b9891537ae6308e68b81f05a4036d
Cho2017,A,5,0,1,c84v2_f77bb08cb2f793872157059ef3194132,OACI,4,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,f92f5277e6dfb26ea37a0cbf571643445dc1e28c8588ca2ee1f03b22f380e085
Cho2017,A,5,0,2,c84v2_78e7350808670a01b11680b71ef590b8,OACI,9,2,C84_LEVEL0_FULL_SOURCE_PANEL_V1,d9632de614c17542f0a55bb4f09702b54babad46a20a80dfdf575095b7aa1356
Cho2017,A,5,0,3,c84v2_8c69bfdedc4781fd52c4c4cad33203e3,OACI,14,3,C84_LEVEL0_FULL_SOURCE_PANEL_V1,4b935a201119410f9d1038a9f23e7081928af6d23828884a82953fe535918e17
Cho2017,A,5,0,4,c84v2_2d4ea23794a6e78589599f68375c6f98,OACI,19,4,C84_LEVEL0_FULL_SOURCE_PANEL_V1,2508956f67b69bdc4296a2444609a370b38a9a8fcd1268f3842aab09bdf5365d
Cho2017,A,5,0,5,c84v2_f7ef398e2b0a5b0e6685de90df97d09b,OACI,24,5,C84_LEVEL0_FULL_SOURCE_PANEL_V1,8f9ecd1a3c43d6bfdb427a217e090b0ba3d175fe26c8d31f2b8763468cb4a8cc
Cho2017,A,5,0,6,c84v2_e00a2d923e313c6cd26d425ef9bc1665,OACI,29,6,C84_LEVEL0_FULL_SOURCE_PANEL_V1,d09ce566cc8142f028ade553ee207871679cadb52befe64a1d8ac7dae272e26d
Cho2017,A,5,0,7,c84v2_9c5b9a9aaa665457d7db7ea1625ce1e4,OACI,34,7,C84_LEVEL0_FULL_SOURCE_PANEL_V1,8903a3095c9f504deb15d86f761ff68d5f05595685afe969396806d975b41c38
Cho2017,A,5,0,8,c84v2_f2b756d5415e1f5b2c8f62ccf71f78f3,OACI,39,8,C84_LEVEL0_FULL_SOURCE_PANEL_V1,7bba484e846f85c10afb7a60b16a29cdb16bbc89f11a5d62b30a17db8138d2c6
Cho2017,A,5,0,9,c84v2_184d52af6a5b240f31cb25de25dfd61d,OACI,44,9,C84_LEVEL0_FULL_SOURCE_PANEL_V1,d001d67a27c4b97eab1e350fc1c2728c2418a0950a8168085053062b2d45ee06
Cho2017,A,5,0,10,c84v2_2ff05a4ae7b0f6cdf2ad80b50ce76567,OACI,49,10,C84_LEVEL0_FULL_SOURCE_PANEL_V1,af5a000245f1eda1c9788fe55798d1e70b37b2d1697d5ac031b57aa747e95da2
