dataset,target_subject_id,panel,training_seed,level,context_id,candidate_count,candidate_id_order_sha256,target_artifact_input_sha256
Lee2019_MI,1,A,5,0,37846d6e3dea290412d15679,81,85773204f5ffd53372953039c406ec5b47f39e435f2827231830cdd2f2e4f016,791c4e0ae68e9b63a90dbd9f35f51092990dc4d8236f50a96bab172e792c83f8
Lee2019_MI,1,A,5,1,aba60cb9b149c184a14c4141,81,d356098f8836f37f7a5722c94624b58250d6b771539666699367e606e26ca05a,d51f918f3eb8197d8f6b57f655d53e97f243e0eea9073df11c373498c9cacd45
Lee2019_MI,1,A,6,0,8e7e76d0500edb90f96759e6,81,25c08b041f090f4362fafe3dc9e089c00608e2dfe9afc20999bd898c468d49f3,af4a9b474172c7bb76d1d3ae7a4d81ee3c32f0f03e5227b5c12c999363d5c0e2
Lee2019_MI,1,A,6,1,b4f1d5bc97b76036111a40e6,81,513c6d4bc69d6293205198be98f466117698f03f7f74a2d50a28f08e6ec070b0,f92f71c720ce585f8a1eefc1ab2ab171e6a333c4b07f6e4e6207d0ae87dc8acd
Lee2019_MI,1,B,5,0,42dd5846d48b79246fcada85,81,6a3bc2cfdb20dc1bebb3f84dc80be74097fba1cd7385ab2fa854b0a23a856d4f,c2efc19af7e4f36b0e7c39bd1ee7f4acb29742b0174bc653c5c59a9a47d5ded6
Lee2019_MI,1,B,5,1,a4a405f090a4d1689626c15b,81,7a5406fc45aac960103bb5b8ae1238f47659165ccd13901564a352d2122aed42,7fa9a5bd885f59cbe6a7f980529cae07139be3fc0b830e71f329aab05308f870
Lee2019_MI,1,B,6,0,d256c34f34eb83decd50bad2,81,22c3f84ae8c02b366eb39af9ac6bb88c5a3ab6e2174b8b0cbda754676d114dbf,92bd1c98fc647be54aef060cdb9eb132d30c3521e44a6ffae940f6f9b847d57e
Lee2019_MI,1,B,6,1,890ea7f2861a7fad0b08e1b7,81,da077ad6893bef38375c8c8488e5b54af68e72f0480b6d58ea0a9be9986d538e,65638ce91f2a0577fb3136d7b2aa371bfaafe8a62af58d226270201078c6e280
Lee2019_MI,6,A,5,0,f0299878ddbc079dc0d30e43,81,85773204f5ffd53372953039c406ec5b47f39e435f2827231830cdd2f2e4f016,791c4e0ae68e9b63a90dbd9f35f51092990dc4d8236f50a96bab172e792c83f8
Lee2019_MI,6,A,5,1,2e592e8c52e860573cce8af4,81,d356098f8836f37f7a5722c94624b58250d6b771539666699367e606e26ca05a,d51f918f3eb8197d8f6b57f655d53e97f243e0eea9073df11c373498c9cacd45
Lee2019_MI,6,A,6,0,9680496f496717326e75720e,81,25c08b041f090f4362fafe3dc9e089c00608e2dfe9afc20999bd898c468d49f3,af4a9b474172c7bb76d1d3ae7a4d81ee3c32f0f03e5227b5c12c999363d5c0e2
Lee2019_MI,6,A,6,1,3c782c1e37dc5424d735100f,81,513c6d4bc69d6293205198be98f466117698f03f7f74a2d50a28f08e6ec070b0,f92f71c720ce585f8a1eefc1ab2ab171e6a333c4b07f6e4e6207d0ae87dc8acd
Lee2019_MI,6,B,5,0,2d74192efee7bdcddf5e591a,81,6a3bc2cfdb20dc1bebb3f84dc80be74097fba1cd7385ab2fa854b0a23a856d4f,c2efc19af7e4f36b0e7c39bd1ee7f4acb29742b0174bc653c5c59a9a47d5ded6
Lee2019_MI,6,B,5,1,6120cf900b8a12abaa5ca1b9,81,7a5406fc45aac960103bb5b8ae1238f47659165ccd13901564a352d2122aed42,7fa9a5bd885f59cbe6a7f980529cae07139be3fc0b830e71f329aab05308f870
