field,shape,dtype_contract,persisted,replayed,contains_label_or_logit
candidate_index,[81],NON_OBJECT_EXACT,1,1,0
candidate_id,[81],NON_OBJECT_EXACT,1,1,0
regime,[81],NON_OBJECT_EXACT,1,1,0
trajectory_order,[81],NON_OBJECT_EXACT,1,1,0
epoch,[81],NON_OBJECT_EXACT,1,1,0
target_artifact_sha256,[81],NON_OBJECT_EXACT,1,1,0
balanced_accuracy,[81],<f8,1,1,0
NLL,[81],<f8,1,1,0
ECE,[81],<f8,1,1,0
bAcc_midrank_percentile,[81],<f8,1,1,0
negative_NLL_midrank_percentile,[81],<f8,1,1,0
negative_ECE_midrank_percentile,[81],<f8,1,1,0
composite_utility,[81],<f8,1,1,0
utility_rank_midrank,[81],<f8,1,1,0
canonical_utility_order_position,[81],NON_OBJECT_EXACT,1,1,0
standardized_regret,[81],<f8,1,1,0
is_canonical_best,[81],NON_OBJECT_EXACT,1,1,0
is_in_canonical_top5,[81],NON_OBJECT_EXACT,1,1,0
is_in_canonical_top10,[81],NON_OBJECT_EXACT,1,1,0
