dataset,backbone,feature_object,training_method,heldout_subject,seed,normalized_overlap,raw_overlap,rank_Y,rank_D,null_mean,null_ci_hi,feature_norm,cov_condition_number,effective_rank,top_singular_value,config_hash,git_sha
BNCI2014_001,EEGNet,frozen_z,erm,1,0,0.04132426062199338,0.12397278186598014,3,7,0.4350188292357909,0.45857678488100334,0.5919583042921952,179.87236252342169,12.39062665249319,24.392016371148042,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,1,1,0.0857160523888285,0.2571481571664855,3,7,0.47304234543744883,0.5005462362899423,0.47464010902048126,91.80706756543574,12.762190393342243,19.66419741256868,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,1,2,0.05622541573616996,0.16867624720850988,3,7,0.43936740758797455,0.46372234966906595,0.5676581114742514,102.22531750744719,12.46552503783373,24.37783947556136,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,2,0,0.10050817868498173,0.30152453605494517,3,7,0.42255616235560545,0.44605673395542406,0.6998480662488338,156.63108719826351,12.02672504132655,31.165653777115708,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,2,1,0.05635846733038871,0.16907540199116614,3,7,0.4581710099283986,0.48131005289638673,0.6314449474873592,116.28905734626603,12.104067385934874,25.544772789298122,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,2,2,0.08297875213564575,0.24893625640693726,3,7,0.4455310481825985,0.46869826278066656,0.6837997785773458,267.32796010847267,11.666834888334966,30.86735687042531,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,3,0,0.07253456041006817,0.21760368123020452,3,7,0.4368822101796785,0.4582241756807721,0.5838320842251375,226.63319126616423,11.818925120339008,26.778428568894526,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,3,1,0.05650344701972774,0.16951034105918322,3,7,0.4499652139209057,0.4802612565734492,0.6329020265706266,227.23592072740584,11.921904864195584,24.945630536112212,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,3,2,0.11853812843962468,0.355614385318874,3,7,0.42615918505219574,0.4502678395149303,0.5750866333171171,806.0658251803485,11.108525165884872,26.480489825736704,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,4,0,0.1017754985789436,0.3053264957368308,3,7,0.43660345124423316,0.460591327138945,0.628075599351514,1153.4784120123518,11.32717366391016,28.485375669696364,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,4,1,0.06402965882842095,0.19208897648526282,3,7,0.44061004649850266,0.4657970813275122,0.5713308985834734,91.12794249484783,12.509750140553408,23.31501311233355,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,4,2,0.05872068098734253,0.1761620429620276,3,7,0.4410522239058374,0.46431818570397787,0.6147402784205762,537.2693338702521,11.668537767734083,26.4159931410637,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,5,0,0.060487547133342166,0.1814626414000265,3,7,0.4421714039885153,0.4612330142535105,0.7116138517747649,219.96111556553473,11.88641394549991,29.574871589356345,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,5,1,0.26421614850987485,0.7926484455296245,3,7,0.47362005977156896,0.5011857128467372,0.6558450974408228,147.46691462488607,11.773802604430683,26.80074822027833,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,5,2,0.10632219728913406,0.31896659186740217,3,7,0.42354922128116584,0.45248894960694036,0.6434893733691598,633.6542827736712,11.826198522881118,28.714231852360296,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,6,0,0.04390235621196179,0.13170706863588538,3,7,0.4331291877091099,0.4585025415433359,0.7377386653527415,260.7839432170641,11.12096655392473,37.044492561136146,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,6,1,0.042360826703792605,0.12708248011137782,3,7,0.4384710081774335,0.46841466811264254,0.6979283091095287,402.4970516239761,10.649276741947201,36.66728629020162,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,6,2,0.05632270469638096,0.1689681140891429,3,7,0.44352620105408247,0.4657919882429275,0.7348000037943697,704.3061490118429,11.200483205632393,35.522274035199494,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,7,0,0.0812084318536527,0.2436252955609581,3,7,0.43931647560089565,0.46050349082166386,0.6219357397505166,229.4866666530823,11.732904160065914,30.50350688552837,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,7,1,0.12869351068063076,0.3860805320418923,3,7,0.4488342247694777,0.47198923118883307,0.5476628937800265,196.14263381337602,11.854544940535396,24.574569893033313,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,7,2,0.0769179026042394,0.23075370781271823,3,7,0.44506372471550654,0.4684499170173786,0.6961879396275203,386.2069967073383,11.745285815191,30.60001079336793,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,8,0,0.04545513904319076,0.13636541712957229,3,7,0.44643413743801647,0.47220728085749547,0.643060322060633,132.19210370148403,12.159202132433718,27.45888353580096,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,8,1,0.12447984174659245,0.37343952523977736,3,7,0.46013574538014324,0.4856563409853814,0.5094866104502186,90.4128235114164,12.546212828767633,21.093774490588103,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,8,2,0.07556114244065543,0.22668342732196628,3,7,0.41798107345165575,0.4454689989934633,0.5107903396238935,238.4564262072431,12.428970304544118,20.78511603256226,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,9,0,0.21618377384269483,0.6485513215280845,3,7,0.4193842917824756,0.4423191323589981,0.5372943869303384,107.05676599439485,12.735662121436693,23.293362071049625,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,9,1,0.05475784390908497,0.1642735317272549,3,7,0.44215825434869294,0.46623659812810186,0.48566440181018433,75.54553027677244,12.84525446898963,19.373304359260402,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
BNCI2014_001,EEGNet,frozen_z,erm,9,2,0.048346540035764836,0.14503962010729451,3,7,0.4371226352384949,0.46059025008898785,0.48453556322499225,99.35629871620223,12.464220459221417,21.65917611854269,3e050d97cfb776b0f40a811849e681e76844024954b247328c14f732933cd910,4d21badc
