backbone,baseline,n_folds,mean_target_bacc,worst_fold_bacc,mean_target_macro_f1,mean_target_nll,mean_target_ece,mean_prediction_change_rate_vs_erm,mean_delta_entropy,mean_balance_KL,mean_CORAL_delta,mean_recenter_norm,source_replay_axis,BN_axis,delta_bacc_vs_erm,delta_nll_vs_erm,delta_ece_vs_erm,bacc_NLL_divergence_flag
EEGConformerMini,ERM_NO_ADAPT,9,0.41358024691358025,0.2534722222222222,0.39727212503338877,5.18442405659613,0.5090140542659571,0.0,0.0,0.18762843423452616,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.0,0.0,0.0,False
EEGConformerMini,MATCHED_CORAL,9,0.42457561728395066,0.265625,0.4258349109915154,6.339466158612108,0.5199155159468825,0.20003858024691362,-0.0568843600846585,0.023926036488994332,-1388.0155318468633,21.092386509476025,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.010995370370370405,1.1550421020159778,0.010901461680925317,True
EEGConformerMini,SPDIM,9,0.42920524691358025,0.25,0.4292128662442557,4.439325695092491,0.47287666543554635,0.18904320987654322,0.04796949245989665,0.032511856005565616,-7.579122514774402e-14,21.09238650947603,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.015625,-0.7450983615036391,-0.03613738883041079,False
EEGConformerMini,T3A,9,0.39641203703703703,0.25,0.39044585576983765,5.277234324590961,0.5212784291197153,0.16666666666666666,0.006117182793366382,0.18429574116012168,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,-0.017168209876543217,0.09281026799483083,0.012264374853758198,False
EEGConformerMini,TTA_CONTROL_REPLAY,9,0.41358024691358025,0.2534722222222222,0.39727212503338877,4.853978469281314,0.5015177433128237,0.0,0.019209676578247167,0.18586201713320896,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.0,-0.33044558731481644,-0.0074963109531334116,False
EEGNetMini,ERM_NO_ADAPT,9,0.40046296296296297,0.2621527777777778,0.3536164594232083,2.4671723233077865,0.3441154310337762,0.0,0.0,0.2897214645290023,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.0,0.0,0.0,False
EEGNetMini,MATCHED_CORAL,9,0.4583333333333333,0.296875,0.4531600873652191,1.9577885891317512,0.2808984310708217,0.42727623456790126,0.020249669944469226,0.008445327079488066,-0.1606275815607065,0.4616291425290877,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.05787037037037035,-0.5093837341760352,-0.06321699996295449,False
EEGNetMini,SPDIM,9,0.45273919753086417,0.3072916666666667,0.44713943603505907,1.6383851167941028,0.21568301153739283,0.42669753086419754,0.17251960862749094,0.013224604558418063,-6.1679056923619804e-18,0.4616291425290876,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.0522762345679012,-0.8287872065136836,-0.12843241949638334,False
EEGNetMini,T3A,9,0.4141589506172839,0.26041666666666663,0.3799233314510093,3.37497648458608,0.3931833031264856,0.13329475308641975,-0.1544613811405574,0.2561495172600631,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.013695987654320951,0.9078041612782934,0.04906787209270941,True
EEGNetMini,TTA_CONTROL_REPLAY,9,0.40046296296296297,0.2621527777777778,0.3536164594232083,2.4182073608914094,0.34161452383034707,0.0,0.00679575752007636,0.28676760868360646,0.0,0.0,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,0.0,-0.048964962416377045,-0.0025009072034291036,False
