backbone,baseline,dominant_mechanism_categories,cross_backbone_status,target_bAcc_delta,target_NLL_delta,target_ECE_delta,mean_confidence_delta,entropy_delta,prediction_change_rate_vs_erm,mean_balance_KL,mean_CORAL_delta,mean_recenter_norm,accuracy_calibration_relation,source_replay_axis,BN_axis,normalization_axis,deployment_selection
EEGConformerMini,ERM_NO_ADAPT,NO_CLEAR_MECHANISM,INCONCLUSIVE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.187628,0.000000,0.000000,NO_CLEAR_GAIN,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGConformerMini,MATCHED_CORAL,GEOMETRY_ALIGNMENT|ACCURACY_CALIBRATION_TRADEOFF,CONSISTENT_ACROSS_BACKBONES,0.010995,1.155042,0.010901,0.021298,-0.056884,0.200039,0.023926,-1388.015532,21.092387,ACCURACY_CALIBRATION_TRADEOFF,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGConformerMini,SPDIM,GEOMETRY_ALIGNMENT,CONSISTENT_ACROSS_BACKBONES,0.015625,-0.745098,-0.036137,-0.022033,0.047969,0.189043,0.032512,-0.000000,21.092387,ACCURACY_AND_CALIBRATION_ALIGNED,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGConformerMini,T3A,CLASSIFIER_TEMPLATE,BACKBONE_SPECIFIC,-0.017168,0.092810,0.012264,-0.004702,0.006117,0.166667,0.184296,0.000000,0.000000,ACCURACY_DECREASE,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGConformerMini,TTA_CONTROL_REPLAY,CALIBRATION_ONLY|ENTROPY_CONFIDENCE|BALANCE_PRIOR,CONSISTENT_ACROSS_BACKBONES,0.000000,-0.330446,-0.007496,-0.007463,0.019210,0.000000,0.185862,0.000000,0.000000,CALIBRATION_ONLY,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGNetMini,ERM_NO_ADAPT,NO_CLEAR_MECHANISM,INCONCLUSIVE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289721,0.000000,0.000000,NO_CLEAR_GAIN,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGNetMini,MATCHED_CORAL,GEOMETRY_ALIGNMENT,CONSISTENT_ACROSS_BACKBONES,0.057870,-0.509384,-0.063217,-0.005805,0.020250,0.427276,0.008445,-0.160628,0.461629,ACCURACY_AND_CALIBRATION_ALIGNED,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGNetMini,SPDIM,GEOMETRY_ALIGNMENT,CONSISTENT_ACROSS_BACKBONES,0.052276,-0.828787,-0.128432,-0.078733,0.172520,0.426698,0.013225,-0.000000,0.461629,ACCURACY_AND_CALIBRATION_ALIGNED,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGNetMini,T3A,CLASSIFIER_TEMPLATE|ACCURACY_CALIBRATION_TRADEOFF,BACKBONE_SPECIFIC,0.013696,0.907804,0.049068,0.063232,-0.154461,0.133295,0.256150,0.000000,0.000000,ACCURACY_CALIBRATION_TRADEOFF,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
EEGNetMini,TTA_CONTROL_REPLAY,CALIBRATION_ONLY|BALANCE_PRIOR,CONSISTENT_ACROSS_BACKBONES,0.000000,-0.048965,-0.002501,-0.002667,0.006796,0.000000,0.286768,0.000000,0.000000,CALIBRATION_ONLY,NOT_AVAILABLE_IN_THIS_REPLAY,NOT_TESTED_IN_FROZEN_FEATURE_REPLAY,NOT_AVAILABLE_IN_FROZEN_FEATURE_REPLAY,FORBIDDEN
