feature,family
occ_c0,occupancy
occ_c1,occupancy
occ_c2,occupancy
occ_c3,occupancy
conf_mean,global_confidence
conf_std,global_confidence
entropy_mean,global_confidence
entropy_std,global_confidence
margin_mean,global_confidence
margin_std,global_confidence
logit_norm_mean,global_confidence
logit_norm_std,global_confidence
conf_c0,class_conditioned_confidence
conf_c1,class_conditioned_confidence
conf_c2,class_conditioned_confidence
conf_c3,class_conditioned_confidence
margin_c0,class_conditioned_margin
margin_c1,class_conditioned_margin
margin_c2,class_conditioned_margin
margin_c3,class_conditioned_margin
bias_c0,class_bias
bias_c1,class_bias
bias_c2,class_bias
bias_c3,class_bias
occ_x_conf_c0,occ_x_conf_interaction
occ_x_conf_c1,occ_x_conf_interaction
occ_x_conf_c2,occ_x_conf_interaction
occ_x_conf_c3,occ_x_conf_interaction
