dataset,confirmation_interface_id,interface_variant,catalog_subjects,eligible_interface_subjects,catalog_channels,catalog_classes,catalog_trials_per_class,catalog_sampling_rate_Hz,catalog_sessions,catalog_runs,documented_min_total_trials_per_subject,event_interval_seconds,event_labels,native_exact_left_right_MI,healthy_adults_only,prior_project_target_science,prior_project_target_or_label_access_certifiably_absent,historical_access_evidence,canonical_nondeduplicated_cohort,public_license,loader_source_path,loader_source_sha256,metadata_url,loader_determinism_audit,published_performance_used,selected_for_C86H_engineering,decision_reason
AlexMI,AlexMI,canonical_default,8,8,16,3,20,512,1,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,3.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2003_004,BNCI2003_004,canonical_default,5,5,118,2,84,100,1,1,168,3.5,right_hand|feet,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bnci/bnci_2003.py,66828b43ec7ebb0aa808c29d4c8746e8021828211e4751cf32d343657239a2c1,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2014_001,BNCI2014_001,canonical_default,9,9,22,4,144,250,2,6,NOT_DEEP_AUDITED_AFTER_TASK_GATE,4.0,CATALOG_CLASS_GATE_ONLY,0,0,1,0,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,PRIOR_TARGET_SCIENCE
BNCI2014_002,BNCI2014_002,canonical_default,14,14,15,2,80,512,1,8,160,5.0,right_hand|feet,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-ND-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bnci/bnci_2014.py,3587026b952b32bedd2721dc9407761a41a11ffb339ae56a65f122c53f71d96e,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2014_004,BNCI2014_004,canonical_default,9,9,3,2,360,250,5,1,720,4.5,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-ND-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bnci/bnci_2014.py,3587026b952b32bedd2721dc9407761a41a11ffb339ae56a65f122c53f71d96e,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,SUBJECT_COUNT_BELOW_12
BNCI2015_001,BNCI2015_001,canonical_default,12,12,13,2,200,512,3,1,400,5.0,right_hand|feet,0,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-NC-ND-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/bnci/bnci_2015.py,72dcf05ebf63f8619317e6996dce0f241a286817d0bf5b453ea15bc38adfa563,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
BNCI2015_004,BNCI2015_004,canonical_default,9,9,30,5,80,256,2,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,7.0,CATALOG_CLASS_GATE_ONLY,0,0,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,NOT_DEEP_AUDITED_AFTER_TASK_GATE,CATALOG_TASK_GATE_ONLY,NOT_APPLICABLE_AFTER_EARLY_GATE,NOT_APPLICABLE_OR_REGISTRY_ONLY,EARLY_TASK_GATE,0,0,NOT_NATIVE_EXACT_BINARY_LEFT_RIGHT_MI
Cho2017,Cho2017,canonical_default,52,52,64,2,100,512,1,1,200,3.0,left_hand|right_hand,1,1,1,0,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/gigadb.py,42e2ef372762cb86aab11a886e1707675477ac776e0468448233de7a4ba71e32,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,PRIOR_TARGET_SCIENCE
Lee2019_MI,Lee2019_MI,canonical_default,54,54,62,2,100,1000,2,1,200,4.0,left_hand|right_hand,1,1,1,0,C84F_C84S_C85_COMMITTED_TARGET_SCIENCE,1,GPL-3.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/Lee2019.py,a0234b81923fed15e4a221e011399f76a83873cd43d598ad5c8c71ba54678a6f,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,PRIOR_TARGET_SCIENCE
GrosseWentrup2009,GrosseWentrup2009,canonical_default,10,10,128,2,150,500,1,1,300,7.0,left_hand|right_hand,1,1,0,1,NO_COMMITTED_PROJECT_TARGET_ACCESS_FOUND,1,CC-BY-4.0,/home/infres/yinwang/anaconda3/envs/c84c-eeg2025-v3-exact/lib/python3.13/site-packages/moabb/datasets/mpi_mi.py,1e7553459a853df4c7656b2a1ed927a1c239c8037c38b5f2937da88f4f3f0eec,NOT_APPLICABLE_OR_REGISTRY_ONLY,SOURCE_IDENTITY_BOUND_NO_DATA_OPEN,0,0,SUBJECT_COUNT_BELOW_12
