risk_id,risk,blocking,mitigation,residual_status
R1,outcome_informed_confirmation_dataset_selection,1,all_metadata_eligible_cohorts_included,CLOSED
R2,class_aware_comparator_advantage,1,P0_primary_P1_secondary_labeled,CLOSED
R3,LURE_unbiasedness_overclaim,1,linear_moments_only_plugin_outputs_explicit,CLOSED
R4,C84_development_as_confirmation,1,C86D_development_only,CLOSED
R5,target_chain_pseudoreplication,1,target_subject_only_scientific_N,CLOSED
R6,FULL_superiority_artifact,1,FULL_reference_not_superiority_test,CLOSED
R7,T7_empirical_transfer,1,MGF_assumption_guard,CLOSED
R8,license_or_loader_drift,1,future_preaccess_hash_and_terms_replay,OPEN_FUTURE_STAGE
R9,candidate_field_resource_exceeds_envelope,1,separate_C86C_F_resource_lock,OPEN_FUTURE_STAGE
R10,confirmation_class_support_failure,1,fixed_split_fail_without_resplit,OPEN_FUTURE_STAGE
