scenario_id,scenario,target_groups,contexts_per_target,acquisition_pool_trials,held_evaluation_trials,candidate_count,active_chains,seed_rule,pi_g,stratum_masses,difficulty,shared_sigma,action_sigma,skill_profile,failure_injection,validation_target,production_entrypoint_required_before_real_execution,C86P_mode,registered_draws,real_data
C86S00,dense_near_ties,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.1,[0.05],skill_ga=1.00-0.001*a,none,near_optimal_set_is_dense_and_low_regret_does_not_require_high_top1,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S01,sparse_large_gaps,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.05,[0.02],skill_g0=2.5;skill_g1=1.2;skill_ga=0.4-0.002*(a-2)_for_a>=2,none,one_sparse_best_action_and_large_gap_replay,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S02,high_pairwise_variance_strata,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,"[0.8,0.2]","[0.0,1.5]",0.1,"[0.05,0.5]",skill_ga=1.5-0.01*a,none,pairwise_variance_design_concentrates_queries_in_high_variance_stratum,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S03,low_pairwise_variance_strata,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,"[0.8,0.2]","[0.0,0.1]",0.05,"[0.03,0.03]",skill_ga=1.5-0.01*a,none,variance_design_does_not_claim_gain_when_strata_are_homoskedastic,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S04,policy_collapse,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.0,[0.0],skill_ga=1.0_for_all_a;bias_a=0_for_all_a,none,all_scores_and_utilities_tie_and_first_index_action_collapse_is_exact,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S05,mean_improvement_with_adverse_target_tail,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.1,[0.08],targets_0_to_9_favor_action0_by_0.20;targets_10_to_11_favor_action80_by_1.00,none,positive_target_equal_mean_can_coexist_with_worse_worst_target_and_CVaR90,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S06,class_imbalance,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.90_for_even_targets;0.10_for_odd_targets,[1.0],[0.0],0.1,[0.08],skill_ga=1.5-0.01*a;bias_a=0.4*sin(a),none,total_query_paths_remain_defined_without_class_allocation_oracle,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S07,importance_weight_instability,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,"[0.95,0.05]","[0.0,2.0]",0.1,"[0.05,0.8]",skill_ga=1.5-0.01*a,none,finite_weights_probability_floor_and_effective_sample_diagnostics_replay,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S08,sampling_probability_floor_failure,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.05,[0.05],skill_ga=1.0,set_one_post_mixture_remaining_trial_probability_to_zero,production_guard_fails_before_query_and_no_result_publishes,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S09,stopping_rule_failure,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.1,[0.1],actions_0_and_1_alternate_as_the_singleton_plausible_set_by_fixed_query_prefix,secondary_singleton_condition_never_holds_for_two_consecutive_updates,primary_fixed_budget_continues_and_secondary_stop_does_not_fire,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
C86S10,dataset_heterogeneity,12,8,128,128,81,2048,low64_little_endian(SHA256(C86_SYNTHETIC_V1|scenario_id|target_id|context_id|chain_id|stream_name)),0.5,[1.0],[0.0],0.1,[0.08],synthetic_cohort_A_favors_action0;B_favors_action40;C_favors_action80_by_equal_margin_0.4,none,same_method_claim_fails_when_cohort_specific_action_and_frontier_are_heterogeneous,1,LOCKED_SCHEMA_ONLY_NOT_EXECUTED,0,0
