object,expected_sha256,observed_sha256,passed,role
C85E_EXECUTION_LOCK.json,a59062305b521973476e0d40236069eba7c9e149aeca9d3fe03c08a1ce106176,a59062305b521973476e0d40236069eba7c9e149aeca9d3fe03c08a1ce106176,1,COMMITTED_COMPACT_PARENT
C85E_OVERALL_REPORT.md,31b9ed96377410d725da30b6de71aabee7702387d04448e10af0be31d52d9c82,31b9ed96377410d725da30b6de71aabee7702387d04448e10af0be31d52d9c82,1,COMMITTED_COMPACT_PARENT
C85E_OVERALL_REPORT.json,3908e1ef72db29030aff023917f7853cbe54607460e143c05b9bdd2047b9aec7,3908e1ef72db29030aff023917f7853cbe54607460e143c05b9bdd2047b9aec7,1,COMMITTED_COMPACT_PARENT
C84_primary,C84-D_external_dataset_source_panel_seed_level_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_level_or_target_heterogeneous,1,IMMUTABLE_CLAIM_STATE
C84_frontier,C84-L4,C84-L4,1,IMMUTABLE_CLAIM_STATE
T1_T3_T4_T7,PROVED,PROVED,1,IMMUTABLE_CLAIM_STATE
T2_T6,COUNTEREXAMPLE,COUNTEREXAMPLE,1,IMMUTABLE_CLAIM_STATE
T5,OPEN,OPEN,1,IMMUTABLE_CLAIM_STATE
C86P_variant_correction,5948b76a2d08c45c88e157aace1cc421a8c551b1c763a265376ad25921103c0d,5948b76a2d08c45c88e157aace1cc421a8c551b1c763a265376ad25921103c0d,1,IMMUTABLE_CLAIM_STATE
C86P_historical_access_correction,fd7e214c6c6675b2a9b071b2bf278e2c4393495b2f4cbe03f82528c3098e7064,fd7e214c6c6675b2a9b071b2bf278e2c4393495b2f4cbe03f82528c3098e7064,1,IMMUTABLE_CLAIM_STATE
