dataset,confirmation_interface_id,interface_variant,native_binary_left_right,subjects_ge_12,trials_ge_80,channels_ge_3,interval_ge_3s,healthy_only,canonical,not_prior_target,historical_target_access_absent,all_interface_rules_pass
BNCI2014_001,BNCI2014_001,canonical_default,0,0,0,1,1,0,1,0,0,0
BNCI2014_004,BNCI2014_004,canonical_default,1,0,1,1,1,1,1,1,1,0
Cho2017,Cho2017,canonical_default,1,1,1,1,1,1,1,0,0,0
Lee2019_MI,Lee2019_MI,canonical_default,1,1,1,1,1,1,1,0,0,0
GrosseWentrup2009,GrosseWentrup2009,canonical_default,1,0,1,1,1,1,1,1,1,0
PhysionetMI,PhysionetMI,canonical_default,0,1,0,1,1,0,1,0,0,0
Shin2017A,Shin2017A,canonical_default,1,1,0,1,1,1,1,1,1,0
Liu2024,Liu2024,canonical_default,1,1,0,1,1,0,1,1,1,0
Dreyer2023A,Dreyer2023A,canonical_default,1,1,1,1,1,1,0,1,0,0
Dreyer2023B,Dreyer2023B,canonical_default,1,1,1,1,1,1,0,1,0,0
Dreyer2023C,Dreyer2023C,canonical_default,1,0,1,1,1,1,0,1,0,0
Dreyer2023,Dreyer2023,canonical_default,1,1,1,1,1,1,1,1,0,0
Kumar2024,Kumar2024,canonical_default,1,1,1,1,1,1,1,1,1,1
Brandl2020,Brandl2020,canonical_default,1,1,1,1,1,1,1,1,1,1
Wu2020,Wu2020,canonical_default,1,0,1,1,1,1,1,1,1,0
Yang2025,Yang2025_2C,paradigm_type=2C;subjects=1..51,1,1,1,1,1,1,1,1,1,1
Forenzo2023,Forenzo2023,canonical_default,1,1,0,1,1,1,1,1,1,0
GuttmannFlury2025_MI,GuttmannFlury2025_MI,canonical_default,1,1,0,1,1,1,1,1,1,0
HefmiIch2025,HefmiIch2025,canonical_default,1,1,1,1,1,0,1,1,1,0
