budget,rank_component_recovery,candidate_specific_gauge_recovery,finite_trial_noise_floor,common_target_offset_not_credited
0,,0.0,1.0,1
1,0.059135,0.073873,0.926127,1
2,0.081562,0.095114,0.904886,1
4,0.110241,0.121716,0.878284,1
8,0.162835,0.176672,0.823328,1
12,0.196328,0.210932,0.789068,1
16,0.229892,0.245291,0.754709,1
24,0.265221,0.286982,0.713018,1
32,0.295456,0.315295,0.684705,1
48,0.333605,0.354716,0.645284,1
64,0.348583,0.370103,0.629897,1
full-construction,0.347591,0.392519,0.607481,1
