budget,metric,cluster,bootstrap_replicates,mean,ci_lower,ci_upper,target_population_generalization_claimed
0,spearman,target,1000,,,,0
0,top1,target,1000,0.041667,0.041667,0.041667,0
0,regret,target,1000,0.057856,0.041625,0.074067,0
0,gauge,target,1000,0.0,0.0,0.0,0
1,spearman,target,1000,0.124569,0.074791,0.175782,0
1,top1,target,1000,0.086105,0.063138,0.106055,0
1,regret,target,1000,0.049461,0.038417,0.060624,0
1,gauge,target,1000,0.074224,0.060607,0.089459,0
2,spearman,target,1000,0.175928,0.110227,0.243764,0
2,top1,target,1000,0.111494,0.080343,0.137916,0
2,regret,target,1000,0.046186,0.035643,0.056149,0
2,gauge,target,1000,0.095532,0.072373,0.119792,0
4,spearman,target,1000,0.236719,0.151207,0.327692,0
4,top1,target,1000,0.128956,0.089351,0.168367,0
4,regret,target,1000,0.04077,0.032721,0.048412,0
4,gauge,target,1000,0.122189,0.081241,0.16802,0
8,spearman,target,1000,0.312648,0.199008,0.425795,0
8,top1,target,1000,0.178291,0.114296,0.236292,0
8,regret,target,1000,0.035282,0.02926,0.040796,0
8,gauge,target,1000,0.177011,0.101556,0.251273,0
12,spearman,target,1000,0.352856,0.2248,0.48347,0
12,top1,target,1000,0.217054,0.129009,0.291289,0
12,regret,target,1000,0.032405,0.027808,0.036822,0
12,gauge,target,1000,0.210624,0.118798,0.304901,0
16,spearman,target,1000,0.393288,0.255862,0.529466,0
16,top1,target,1000,0.221852,0.13088,0.311714,0
16,regret,target,1000,0.030839,0.027037,0.034374,0
16,gauge,target,1000,0.24313,0.133198,0.358483,0
24,spearman,target,1000,0.430371,0.268438,0.578376,0
24,top1,target,1000,0.280588,0.153147,0.403432,0
24,regret,target,1000,0.026843,0.023853,0.029567,0
24,gauge,target,1000,0.28563,0.149302,0.418893,0
32,spearman,target,1000,0.464539,0.297785,0.62364,0
32,top1,target,1000,0.30084,0.150593,0.440522,0
32,regret,target,1000,0.02615,0.024132,0.027977,0
32,gauge,target,1000,0.314649,0.160482,0.467697,0
48,spearman,target,1000,0.505682,0.352191,0.65738,0
48,top1,target,1000,0.345273,0.169314,0.530037,0
48,regret,target,1000,0.023234,0.019873,0.026322,0
48,gauge,target,1000,0.350415,0.193521,0.514271,0
64,spearman,target,1000,0.519828,0.354716,0.674596,0
64,top1,target,1000,0.366311,0.154949,0.569888,0
64,regret,target,1000,0.022036,0.016246,0.028289,0
64,gauge,target,1000,0.37165,0.19897,0.537791,0
full-construction,spearman,target,1000,0.54135,0.394456,0.680983,0
full-construction,top1,target,1000,0.439444,0.111111,0.777778,0
full-construction,regret,target,1000,0.018347,0.005668,0.033356,0
full-construction,gauge,target,1000,0.385079,0.200608,0.554985,0
