budget,top1_hit,top3_hit,continuous_regret,coverage_regret_le_0p02,actionability_status
0,0.041667,0.125,0.058047,0.0,limited
1,0.086344,0.210925,0.049227,0.109809,limited
2,0.110742,0.257382,0.046043,0.174479,limited
4,0.129665,0.29588,0.040816,0.233507,limited
8,0.179583,0.369714,0.03543,0.298611,limited
12,0.218281,0.418073,0.032442,0.349392,limited
16,0.221648,0.433141,0.030839,0.364583,limited
24,0.282025,0.497002,0.026907,0.436632,limited
32,0.300109,0.519214,0.026121,0.423611,limited
48,0.347743,0.560395,0.023204,0.505642,candidate
64,0.370298,0.545454,0.021951,0.545139,candidate
full-construction,0.444444,0.555556,0.018161,0.555556,candidate
