stage,unit_hash,target_id,trajectory_hash,seed,level,regime,candidate_order,target_trial_count,checkpoint_target_rows,construct_trial_count,eval_trial_count,source_domain_trial_logits_available
t2,5f2b95877bc5b224,1,962e5897bac10cf4,0,0,S0_full_support,0,576,576,280,296,0
t2,5c655e25cd97c907,1,962e5897bac10cf4,0,0,S0_full_support,1,576,576,280,296,0
t2,d8ab759f54732c61,1,962e5897bac10cf4,0,0,S0_full_support,2,576,576,280,296,0
t2,b6f634ddf2d0de18,1,962e5897bac10cf4,0,0,S0_full_support,3,576,576,280,296,0
t2,90c3de574719ae9e,1,985cbb28b8c1de82,0,1,S0_full_support,0,576,576,280,296,0
t2,4146b1263e6534fa,1,985cbb28b8c1de82,0,1,S0_full_support,1,576,576,280,296,0
t2,a79346dfaa3395fd,1,985cbb28b8c1de82,0,1,S0_full_support,2,576,576,280,296,0
t2,5e3af2b3110650e2,1,985cbb28b8c1de82,0,1,S0_full_support,3,576,576,280,296,0
t2,a198f7b13e28181b,1,a50ddc576cbc49e2,1,0,S0_full_support,0,576,576,280,296,0
t2,837f61797695a491,1,a50ddc576cbc49e2,1,0,S0_full_support,1,576,576,280,296,0
t2,2c854fc813f60e72,1,a50ddc576cbc49e2,1,0,S0_full_support,2,576,576,280,296,0
t2,c1e21148361caf56,1,a50ddc576cbc49e2,1,0,S0_full_support,3,576,576,280,296,0
t2,203b79179efecb75,1,d08c0f19933e532f,1,1,S0_full_support,0,576,576,280,296,0
t2,673a5cfcf9a319d7,1,d08c0f19933e532f,1,1,S0_full_support,1,576,576,280,296,0
t2,c10cc6c7fc0b6961,1,d08c0f19933e532f,1,1,S0_full_support,2,576,576,280,296,0
t2,107dad396f18d676,1,d08c0f19933e532f,1,1,S0_full_support,3,576,576,280,296,0
t2,442607b7b917bc24,1,1c2dbc827374b3dc,2,0,S0_full_support,0,576,576,280,296,0
t2,6aaa9249fd8f2aeb,1,1c2dbc827374b3dc,2,0,S0_full_support,1,576,576,280,296,0
