budget,labels_per_class,repeat_count,target_count,mean_unique_construct_trials,mean_unique_eval_trials,mean_within_target_spearman,mean_kendall_tau_proxy,mean_pairwise_order_accuracy,mean_top1_hit,mean_top3_hit,mean_continuous_regret,actionability_rate_regret_le_0p02,mean_gauge_residual_recovery,endpoint_oracle_reference,few_label_sufficiency_claimed
0,0,256,9,0.0,576.0,,0.0,0.5,0.041667,0.125,0.058047,0.0,0.0,0.9444444444444444,0
1,1,256,9,4.0,572.0,0.124174,0.075431,0.537716,0.086344,0.210925,0.049227,0.109809,0.073873,0.9444444444444444,0
2,2,256,9,8.0,568.0,0.17504,0.116566,0.558283,0.110742,0.257382,0.046043,0.174479,0.095114,0.9444444444444444,0
4,4,256,9,16.0,560.0,0.235192,0.163888,0.581944,0.129665,0.29588,0.040816,0.233507,0.121716,0.9444444444444444,0
8,8,256,9,32.0,544.0,0.312858,0.224271,0.612136,0.179583,0.369714,0.03543,0.298611,0.176672,0.9444444444444444,0
12,12,256,9,48.0,528.0,0.353544,0.258625,0.629313,0.218281,0.418073,0.032442,0.349392,0.210932,0.9444444444444444,0
16,16,256,9,64.0,512.0,0.395848,0.291664,0.645832,0.221648,0.433141,0.030839,0.364583,0.245291,0.9444444444444444,0
24,24,256,9,96.0,480.0,0.431911,0.325877,0.662939,0.282025,0.497002,0.026907,0.436632,0.286982,0.9444444444444444,0
32,32,256,9,128.0,448.0,0.465259,0.353757,0.676879,0.300109,0.519214,0.026121,0.423611,0.315295,0.9444444444444444,0
48,48,256,9,192.0,384.0,0.510045,0.392949,0.696474,0.347743,0.560395,0.023204,0.505642,0.354716,0.9444444444444444,0
64,64,256,9,256.0,320.0,0.518057,0.402854,0.701427,0.370298,0.545454,0.021951,0.545139,0.370103,0.9444444444444444,0
full-construction,full-construction,1,9,277.333333,298.666667,0.547343,0.417874,0.708937,0.444444,0.555556,0.018161,0.555556,0.392519,0.9444444444444444,0
