budget,gauge_residual_recovery,source_to_oracle_gap_closure_fraction,common_target_offset_credit,candidate_specific_within_target_credit
0,0.0,0.0,0,0.0
1,0.073873,0.073873,0,0.073873
2,0.095114,0.095114,0,0.095114
4,0.121716,0.121716,0,0.121716
8,0.176672,0.176672,0,0.176672
12,0.210932,0.210932,0,0.210932
16,0.245291,0.245291,0,0.245291
24,0.286982,0.286982,0,0.286982
32,0.315295,0.315295,0,0.315295
48,0.354716,0.354716,0,0.354716
64,0.370103,0.370103,0,0.370103
full-construction,0.392519,0.392519,0,0.392519
