dataset,target_subject,token_seed,is_dev,ncls,alpha_star,stress_unmet,k_star,lam_star,margin,scale,c_target,sel_netted_rec,sel_clean_drop
BNCI2014_001,1,0,True,4,1.0,False,4,1.0,4.2894,2.6788,0,0.8791,0.0723
BNCI2014_001,1,20260707,False,4,1.5,False,4,0.5,4.2894,2.5932,1,0.3662,0.0081
BNCI2014_001,1,20260708,False,4,1.5,False,1,0.5,4.2894,2.6859,1,0.0319,0.0064
BNCI2014_001,1,20260709,False,4,1.5,False,4,0.5,4.2894,2.6194,2,0.3513,0.0093
BNCI2014_001,2,0,True,4,1.5,False,1,1.0,1.1181,1.1037,3,1.1679,0.0064
BNCI2014_001,2,20260707,False,4,1.0,False,4,1.0,1.1181,1.0499,2,0.5109,0.0075
BNCI2014_001,2,20260708,False,4,1.5,False,4,1.0,1.1181,1.0318,0,0.385,0.0081
BNCI2014_001,2,20260709,False,4,1.0,False,2,0.5,1.1181,1.0057,1,0.7815,0.0081
BNCI2014_001,3,0,True,4,1.0,False,4,1.0,0.2,0.9595,2,1.2687,0.0087
BNCI2014_001,3,20260707,False,4,1.5,False,1,0.5,0.2,1.0523,1,1.1769,0.0087
BNCI2014_001,3,20260708,False,4,1.0,False,1,0.5,0.2,1.0669,0,0.5611,0.0093
BNCI2014_001,3,20260709,False,4,1.0,False,4,1.0,0.2,0.9928,2,2.3571,0.0208
BNCI2014_001,4,0,True,4,1.0,False,1,1.0,1.5454,1.7779,3,5.2575,0.1343
BNCI2014_001,4,20260707,False,4,1.5,False,2,0.5,1.5454,1.7654,2,-0.0382,0.0029
BNCI2014_001,4,20260708,False,4,1.5,False,4,1.0,1.5454,1.7216,3,0.7156,0.0394
BNCI2014_001,4,20260709,False,4,1.5,False,4,0.5,1.5454,1.6999,1,0.5102,0.0035
BNCI2014_001,5,0,True,4,1.0,False,2,0.5,0.2,0.3283,3,1.1944,-0.0069
BNCI2014_001,5,20260707,False,4,1.5,False,1,0.5,0.2,0.353,1,2.15,0.0012
BNCI2014_001,5,20260708,False,4,1.0,False,4,1.0,0.2,0.3767,0,0.5,-0.0069
BNCI2014_001,5,20260709,False,4,1.5,False,1,0.5,0.2,0.3485,2,1.2083,-0.0017
BNCI2014_001,6,0,True,4,1.5,False,4,0.5,0.2201,0.4039,3,1.9167,-0.0012
BNCI2014_001,6,20260707,False,4,1.0,False,4,0.5,0.2201,0.4066,0,2.6046,0.0058
BNCI2014_001,6,20260708,False,4,1.5,False,4,0.5,0.2201,0.5017,0,0.7273,0.0041
BNCI2014_001,6,20260709,False,4,1.0,False,2,0.5,0.2201,0.3872,0,0.8269,0.0023
BNCI2014_001,7,0,True,4,1.0,False,2,1.0,0.7771,1.1602,0,-0.17,0.0793
BNCI2014_001,7,20260707,False,4,1.0,False,4,1.0,0.7771,1.1415,0,-4.5556,0.0428
BNCI2014_001,7,20260708,False,4,1.0,False,1,1.0,0.7771,1.3432,1,1.7667,0.1418
BNCI2014_001,7,20260709,False,4,1.0,False,4,1.0,0.7771,1.0792,1,0.4652,0.0671
BNCI2014_001,8,0,True,4,1.0,False,1,0.5,0.2,0.5255,2,1.8889,-0.011
BNCI2014_001,8,20260707,False,4,1.0,False,4,1.0,0.2,0.4726,1,1.8407,0.0075
BNCI2014_001,8,20260708,False,4,1.0,False,4,1.0,0.2,0.5844,0,2.127,0.0046
BNCI2014_001,8,20260709,False,4,1.5,False,1,0.5,0.2,0.5007,3,1.087,-0.0029
BNCI2014_001,9,0,True,4,1.0,False,4,0.5,0.321,0.6562,1,0.3241,0.0185
BNCI2014_001,9,20260707,False,4,1.0,False,4,1.0,0.321,0.624,2,0.2111,0.0532
BNCI2014_001,9,20260708,False,4,1.5,False,4,1.0,0.321,0.8313,1,1.4111,0.0903
BNCI2014_001,9,20260709,False,4,1.0,False,4,1.0,0.321,0.6377,3,0.3375,0.0683
BNCI2015_001,10,0,True,2,1.0,False,4,1.0,0.5426,3.3012,0,-0.1169,-0.015
BNCI2015_001,10,20260707,False,2,1.0,False,1,1.0,0.5426,3.4697,1,1.0825,-0.045
BNCI2015_001,10,20260708,False,2,1.0,False,4,1.0,0.5426,3.3436,1,-2.5344,-0.0103
BNCI2015_001,10,20260709,False,2,2.0,True,2,1.0,0.5426,3.3495,0,0.8445,0.04
BNCI2015_001,11,0,True,2,1.5,False,2,1.0,5.3539,4.7646,1,0.896,0.0097
BNCI2015_001,11,20260707,False,2,1.0,False,4,1.0,5.3539,4.886,1,0.9937,-0.0
BNCI2015_001,11,20260708,False,2,1.0,False,1,1.0,5.3539,4.9833,0,0.9283,-0.0442
BNCI2015_001,11,20260709,False,2,1.0,False,4,0.5,5.3539,4.6717,1,0.2886,0.0056
BNCI2015_001,12,0,True,2,1.5,False,4,1.0,3.6324,3.7961,1,0.5661,-0.0883
BNCI2015_001,12,20260707,False,2,1.5,False,2,1.0,3.6324,4.0408,0,0.7912,-0.0117
BNCI2015_001,12,20260708,False,2,1.0,False,1,1.0,3.6324,4.1048,0,0.5213,0.0022
BNCI2015_001,12,20260709,False,2,1.0,False,4,1.0,3.6324,3.815,0,0.8039,-0.0081
BNCI2015_001,1,0,True,2,1.5,False,4,1.0,0.2,1.723,0,0.4036,-0.04
BNCI2015_001,1,20260707,False,2,1.5,False,4,1.0,0.2,1.6735,1,0.748,-0.0203
BNCI2015_001,1,20260708,False,2,1.0,False,4,1.0,0.2,1.7385,1,1.1433,-0.0053
BNCI2015_001,1,20260709,False,2,1.5,False,4,1.0,0.2,1.7314,0,1.8713,-0.0011
BNCI2015_001,2,0,True,2,1.0,False,4,1.0,0.2,3.5109,1,1.1304,-0.0067
BNCI2015_001,2,20260707,False,2,1.0,False,2,1.0,0.2,3.6508,0,0.8187,-0.0067
BNCI2015_001,2,20260708,False,2,1.0,False,1,1.0,0.2,3.4757,0,0.8259,-0.0114
BNCI2015_001,2,20260709,False,2,1.0,False,2,1.0,0.2,3.3639,1,0.759,-0.0089
BNCI2015_001,3,0,True,2,1.0,False,4,1.0,0.8078,2.3851,0,1.1315,0.0078
BNCI2015_001,3,20260707,False,2,1.5,False,4,0.5,0.8078,2.5455,1,-0.5295,0.0072
BNCI2015_001,3,20260708,False,2,1.5,False,4,0.5,0.8078,2.6673,0,0.0558,0.0081
BNCI2015_001,3,20260709,False,2,2.0,False,4,0.5,0.8078,2.4232,0,-3.297,-0.0067
BNCI2015_001,4,0,True,2,1.0,False,2,1.0,0.4236,1.8057,1,0.9761,-0.0158
BNCI2015_001,4,20260707,False,2,1.0,False,1,1.0,0.4236,1.8972,0,0.9815,-0.0328
BNCI2015_001,4,20260708,False,2,1.0,False,4,1.0,0.4236,2.0247,1,0.8597,-0.0267
BNCI2015_001,4,20260709,False,2,1.5,False,1,1.0,0.4236,1.877,1,1.1627,-0.0442
BNCI2015_001,5,0,True,2,1.0,False,1,1.0,0.6372,2.2116,1,0.8685,-0.0014
BNCI2015_001,5,20260707,False,2,1.5,False,1,0.5,0.6372,2.3779,1,0.417,-0.0067
BNCI2015_001,5,20260708,False,2,1.0,False,4,1.0,0.6372,2.5139,0,0.7463,0.0097
BNCI2015_001,5,20260709,False,2,1.0,False,4,1.0,0.6372,2.3088,0,0.7011,-0.0072
BNCI2015_001,6,0,True,2,1.0,False,4,0.5,1.1581,2.0786,1,0.2982,0.0003
BNCI2015_001,6,20260707,False,2,1.0,False,4,1.0,1.1581,2.1914,0,1.0936,-0.0117
BNCI2015_001,6,20260708,False,2,1.5,False,1,0.5,1.1581,2.3181,0,0.099,0.0039
BNCI2015_001,6,20260709,False,2,1.5,False,4,1.0,1.1581,2.1305,0,0.961,-0.0158
BNCI2015_001,7,0,True,2,1.0,False,1,0.5,0.729,2.6849,0,0.487,0.0083
BNCI2015_001,7,20260707,False,2,1.5,False,4,0.5,0.729,2.8723,0,0.4015,0.0097
BNCI2015_001,7,20260708,False,2,1.0,False,2,0.5,0.729,3.0387,1,0.5487,0.0044
BNCI2015_001,7,20260709,False,2,2.0,False,1,1.0,0.729,2.783,1,0.8701,-0.0011
BNCI2015_001,8,0,True,2,1.0,False,2,1.0,0.2917,1.654,0,2.8946,-0.0233
BNCI2015_001,8,20260707,False,2,1.5,False,2,1.0,0.2917,1.7641,1,0.9426,-0.0086
BNCI2015_001,8,20260708,False,2,1.0,False,2,1.0,0.2917,1.7393,0,1.326,-0.0122
BNCI2015_001,8,20260709,False,2,1.0,False,1,1.0,0.2917,1.6291,1,0.9249,-0.0108
BNCI2015_001,9,0,True,2,2.0,False,1,0.5,1.2353,2.6585,1,-0.0068,0.0033
BNCI2015_001,9,20260707,False,2,1.0,False,4,1.0,1.2353,2.7891,0,0.304,-0.0042
BNCI2015_001,9,20260708,False,2,2.0,False,1,1.0,1.2353,2.8602,1,7.608,-0.0017
BNCI2015_001,9,20260709,False,2,1.0,False,4,1.0,1.2353,2.5888,1,1.0049,0.0033
