dataset,target_subject,token_seed,is_dev,alpha,is_alpha_star,k,lam,bacc_orig,bacc_injected,induced_harm,E0_recovery,E4_inj_bacc,E4_cln_bacc,E4_raw_rec,E4_netted_rec,E1_inj_bacc,E1_cln_bacc,E1_raw_rec,E1_netted_rec,E2_netted_rec,E3_inj_bacc,E3_cln_bacc,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_netted_rec
BNCI2014_001,1,0,True,0.5,False,4,1.0,0.4045,0.4219,-0.0174,1.0,0.4392,0.4392,-1.0,1.0,0.401,0.4288,1.2,2.6,2.6,0.4219,0.4115,0.4,0.3507,0.3976,3.7
BNCI2014_001,1,0,True,1.0,True,4,1.0,0.4045,0.3837,0.0208,1.0,0.4392,0.4392,2.6667,1.0,0.4149,0.4392,1.5,-0.1667,0.0,0.3872,0.4028,0.25,0.3194,0.4167,-3.6667
BNCI2014_001,1,0,True,1.5,False,4,1.0,0.4045,0.3524,0.0521,1.0,0.4392,0.4392,1.6667,1.0,0.3872,0.4462,0.6667,-0.1333,0.2,0.3663,0.4062,0.2333,0.309,0.4149,-1.0333
BNCI2014_001,1,0,True,2.0,False,4,1.0,0.4045,0.3229,0.0816,1.0,0.4392,0.4392,1.4255,1.0,0.3559,0.4462,0.4043,-0.1064,0.5106,0.3281,0.408,0.0213,0.2865,0.4167,-0.5957
BNCI2014_001,1,20260707,False,0.5,False,4,0.5,0.4045,0.3854,0.0191,1.0,0.4358,0.4201,2.6364,1.8182,0.401,0.408,0.8182,0.6364,0.0909,0.3993,0.4097,0.4545,0.2917,0.3368,-1.3636
BNCI2014_001,1,20260707,False,1.0,False,4,0.5,0.4045,0.3108,0.0938,1.0,0.4132,0.4201,1.0926,0.9259,0.3542,0.4097,0.463,0.4074,0.2037,0.3333,0.4115,0.1667,0.2726,0.3038,0.6667
BNCI2014_001,1,20260707,False,1.5,True,4,0.5,0.4045,0.2795,0.125,1.0,0.3698,0.4201,0.7222,0.5972,0.2969,0.4149,0.1389,0.0556,0.1111,0.2795,0.408,-0.0278,0.2569,0.309,0.5833
BNCI2014_001,1,20260707,False,2.0,False,4,0.5,0.4045,0.2656,0.1389,1.0,0.3212,0.4201,0.4,0.2875,0.2656,0.4149,0.0,-0.075,0.1375,0.2656,0.4115,-0.05,0.25,0.3212,0.4875
BNCI2014_001,1,20260708,False,0.5,False,1,0.5,0.4045,0.3542,0.0503,1.0,0.4236,0.4201,1.3793,1.069,0.3524,0.401,-0.0345,0.0345,0.069,0.3559,0.4045,0.0345,0.3872,0.4479,-0.2069
BNCI2014_001,1,20260708,False,1.0,False,1,0.5,0.4045,0.2899,0.1146,1.0,0.3698,0.4201,0.697,0.5606,0.309,0.3941,0.1667,0.2576,0.2424,0.2934,0.4062,0.0152,0.2986,0.3507,0.5455
BNCI2014_001,1,20260708,False,1.5,True,1,0.5,0.4045,0.2743,0.1302,1.0,0.3264,0.4201,0.4,0.28,0.276,0.3993,0.0133,0.0533,0.2533,0.2882,0.4062,0.0933,0.2639,0.316,0.6
