dataset,target_subject,token_seed,alpha_star,cos_u_S,captured_fraction,u_capture,v_capture
BNCI2014_001,1,0,1.0,0.8524,0.6624,0.8524,0.6755
BNCI2014_001,1,20260707,1.5,0.8444,0.7585,0.8444,0.9017
BNCI2014_001,1,20260708,1.5,0.0734,0.4074,0.0734,0.4757
BNCI2014_001,1,20260709,1.5,0.6495,0.4657,0.6495,0.8342
BNCI2014_001,2,0,1.5,0.0573,0.6778,0.0573,0.8687
BNCI2014_001,2,20260707,1.0,0.5055,0.8531,0.5055,0.688
BNCI2014_001,2,20260708,1.5,0.6738,0.8724,0.6738,0.8548
BNCI2014_001,2,20260709,1.0,0.6284,0.6443,0.6284,0.3646
BNCI2014_001,3,0,1.0,0.6589,0.508,0.6589,0.56
BNCI2014_001,3,20260707,1.5,0.0547,0.4509,0.0547,0.5604
BNCI2014_001,3,20260708,1.0,0.34,0.2794,0.34,0.6563
BNCI2014_001,3,20260709,1.0,0.3815,0.7127,0.3815,0.8747
BNCI2014_001,4,0,1.0,0.2476,0.465,0.2476,0.4912
BNCI2014_001,4,20260707,1.5,0.2186,0.0806,0.2186,0.2206
BNCI2014_001,4,20260708,1.5,0.5025,0.4895,0.5025,0.569
BNCI2014_001,4,20260709,1.5,0.606,0.4822,0.606,0.8405
BNCI2014_001,5,0,1.0,0.0924,0.5963,0.0924,0.8497
BNCI2014_001,5,20260707,1.5,0.082,0.4159,0.082,0.6182
BNCI2014_001,5,20260708,1.0,0.2976,0.457,0.2976,0.8022
BNCI2014_001,5,20260709,1.5,0.0975,0.044,0.0975,0.035
BNCI2014_001,6,0,1.5,0.4993,0.5463,0.4993,0.8911
BNCI2014_001,6,20260707,1.0,0.2224,0.5322,0.2224,0.6443
BNCI2014_001,6,20260708,1.5,0.3781,0.6783,0.3781,0.7244
BNCI2014_001,6,20260709,1.0,0.1515,0.3395,0.1515,0.5005
BNCI2014_001,7,0,1.0,0.1773,0.3023,0.1773,0.4796
BNCI2014_001,7,20260707,1.0,0.5942,0.652,0.5942,0.5913
BNCI2014_001,7,20260708,1.0,0.1308,0.4569,0.1308,0.573
BNCI2014_001,7,20260709,1.0,0.5168,0.7361,0.5168,0.6646
BNCI2014_001,8,0,1.0,0.2229,0.3536,0.2229,0.2913
BNCI2014_001,8,20260707,1.0,0.3627,0.5908,0.3627,0.7564
BNCI2014_001,8,20260708,1.0,0.3868,0.631,0.3868,0.8001
BNCI2014_001,8,20260709,1.5,0.0969,0.3736,0.0969,0.5611
BNCI2014_001,9,0,1.0,0.5537,0.6842,0.5537,0.8
BNCI2014_001,9,20260707,1.0,0.3878,0.4759,0.3878,0.5665
BNCI2014_001,9,20260708,1.5,0.1775,0.6534,0.1775,0.8923
BNCI2014_001,9,20260709,1.0,0.4106,0.4791,0.4106,0.5747
BNCI2015_001,10,0,1.0,0.5443,0.6449,0.5443,0.883
BNCI2015_001,10,20260707,1.0,0.345,0.3974,0.345,0.8495
BNCI2015_001,10,20260708,1.0,0.4498,0.651,0.4498,0.8593
BNCI2015_001,10,20260709,2.0,0.3865,0.6776,0.3865,0.9406
BNCI2015_001,11,0,1.5,0.1378,0.7264,0.1378,0.9468
BNCI2015_001,11,20260707,1.0,0.4628,0.7326,0.4628,0.9455
BNCI2015_001,11,20260708,1.0,0.1539,0.7306,0.1539,0.9361
BNCI2015_001,11,20260709,1.0,0.4524,0.8355,0.4524,0.9639
BNCI2015_001,12,0,1.5,0.5321,0.6466,0.5321,0.9302
BNCI2015_001,12,20260707,1.5,0.2457,0.6811,0.2457,0.9515
BNCI2015_001,12,20260708,1.0,0.0241,0.6557,0.0241,0.9287
BNCI2015_001,12,20260709,1.0,0.2134,0.7234,0.2134,0.9716
BNCI2015_001,1,0,1.5,0.8514,0.8764,0.8514,0.8524
BNCI2015_001,1,20260707,1.5,0.5682,0.7034,0.5682,0.8552
BNCI2015_001,1,20260708,1.0,0.2934,0.5336,0.2934,0.8059
BNCI2015_001,1,20260709,1.5,0.8757,0.8885,0.8757,0.8806
BNCI2015_001,2,0,1.0,0.6638,0.5855,0.6638,0.7465
BNCI2015_001,2,20260707,1.0,0.2009,0.691,0.2009,0.755
BNCI2015_001,2,20260708,1.0,0.1047,0.5932,0.1047,0.7394
BNCI2015_001,2,20260709,1.0,0.4321,0.4871,0.4321,0.6744
BNCI2015_001,3,0,1.0,0.6039,0.8163,0.6039,0.906
BNCI2015_001,3,20260707,1.5,0.4482,0.8204,0.4482,0.9048
BNCI2015_001,3,20260708,1.5,0.3076,0.7004,0.3076,0.9328
BNCI2015_001,3,20260709,2.0,0.8689,0.8979,0.8689,0.9599
BNCI2015_001,4,0,1.0,0.4194,0.7489,0.4194,0.8658
BNCI2015_001,4,20260707,1.0,0.0821,0.5958,0.0821,0.9218
BNCI2015_001,4,20260708,1.0,0.6693,0.7362,0.6693,0.8967
BNCI2015_001,4,20260709,1.5,0.2132,0.5191,0.2132,0.8912
BNCI2015_001,5,0,1.0,0.5244,0.8409,0.5244,0.87
BNCI2015_001,5,20260707,1.5,0.1249,0.796,0.1249,0.8856
BNCI2015_001,5,20260708,1.0,0.6632,0.8389,0.6632,0.9336
BNCI2015_001,5,20260709,1.0,0.7188,0.8204,0.7188,0.9669
BNCI2015_001,6,0,1.0,0.8476,0.8323,0.8476,0.8918
BNCI2015_001,6,20260707,1.0,0.7252,0.8074,0.7252,0.9644
BNCI2015_001,6,20260708,1.5,0.0308,0.7121,0.0308,0.9454
BNCI2015_001,6,20260709,1.5,0.8171,0.8771,0.8171,0.9762
BNCI2015_001,7,0,1.0,0.1726,0.4621,0.1726,0.8472
BNCI2015_001,7,20260707,1.5,0.765,0.8353,0.765,0.9516
BNCI2015_001,7,20260708,1.0,0.5633,0.7682,0.5633,0.9107
BNCI2015_001,7,20260709,2.0,0.1042,0.7316,0.1042,0.911
BNCI2015_001,8,0,1.0,0.0939,0.6136,0.0939,0.798
BNCI2015_001,8,20260707,1.5,0.4277,0.7058,0.4277,0.8371
BNCI2015_001,8,20260708,1.0,0.4147,0.7984,0.4147,0.8901
BNCI2015_001,8,20260709,1.0,0.2408,0.7475,0.2408,0.8023
BNCI2015_001,9,0,2.0,0.2382,0.4987,0.2382,0.9241
BNCI2015_001,9,20260707,1.0,0.6723,0.8613,0.6723,0.9536
BNCI2015_001,9,20260708,2.0,0.1842,0.7514,0.1842,0.9171
BNCI2015_001,9,20260709,1.0,0.6606,0.8654,0.6606,0.9403
