dataset,target_subject,token_seed,thr,shift_a0.5,shift_a1.0,shift_a1.5,shift_a2.0,alpha_star
BNCI2014_001,1,0,4.2894,3.0657,6.0377,8.9099,11.6772,1.0
BNCI2014_001,1,20260707,4.2894,1.9933,3.7714,5.3523,6.7685,1.5
BNCI2014_001,1,20260708,4.2894,1.792,3.8556,6.2262,8.8857,1.5
BNCI2014_001,1,20260709,4.2894,1.9454,3.5911,4.9397,6.0008,1.5
BNCI2014_001,2,0,1.1181,0.5472,1.091,1.6199,2.1236,1.5
BNCI2014_001,2,20260707,1.1181,0.7682,1.5342,2.2904,3.0292,1.0
BNCI2014_001,2,20260708,1.1181,0.5151,1.0407,1.5695,2.0948,1.5
BNCI2014_001,2,20260709,1.1181,0.5881,1.1767,1.7568,2.3205,1.0
BNCI2014_001,3,0,0.2,0.1129,0.227,0.3421,0.4581,1.0
BNCI2014_001,3,20260707,0.2,0.0765,0.1552,0.2356,0.3172,1.5
BNCI2014_001,3,20260708,0.2,0.1162,0.2149,0.2965,0.3617,1.0
BNCI2014_001,3,20260709,0.2,0.1087,0.2142,0.3159,0.4133,1.0
BNCI2014_001,4,0,1.5454,0.8072,1.6279,2.4556,3.284,1.0
BNCI2014_001,4,20260707,1.5454,0.7517,1.4387,2.0579,2.6078,1.5
BNCI2014_001,4,20260708,1.5454,0.7252,1.3525,1.901,2.3886,1.5
BNCI2014_001,4,20260709,1.5454,0.704,1.2957,1.774,2.1419,1.5
BNCI2014_001,5,0,0.2,0.1256,0.2519,0.3789,0.5066,1.0
BNCI2014_001,5,20260707,0.2,0.0888,0.178,0.2674,0.3569,1.5
BNCI2014_001,5,20260708,0.2,0.1063,0.2115,0.3153,0.4173,1.0
BNCI2014_001,5,20260709,0.2,0.0808,0.1628,0.2457,0.3296,1.5
BNCI2014_001,6,0,0.2201,0.1006,0.2021,0.3045,0.4077,1.5
BNCI2014_001,6,20260707,0.2201,0.116,0.2337,0.353,0.4736,1.0
BNCI2014_001,6,20260708,0.2201,0.085,0.166,0.2433,0.3171,1.5
BNCI2014_001,6,20260709,0.2201,0.1582,0.3141,0.4675,0.6185,1.0
BNCI2014_001,7,0,0.7771,0.5131,1.0257,1.5355,2.04,1.0
BNCI2014_001,7,20260707,0.7771,0.56,1.1328,1.718,2.3155,1.0
BNCI2014_001,7,20260708,0.7771,0.4957,0.9399,1.3343,1.6822,1.0
BNCI2014_001,7,20260709,0.7771,0.528,1.0477,1.5563,2.0508,1.0
BNCI2014_001,8,0,0.2,0.1001,0.2027,0.3079,0.4155,1.0
BNCI2014_001,8,20260707,0.2,0.1222,0.2451,0.3685,0.4921,1.0
BNCI2014_001,8,20260708,0.2,0.1393,0.2715,0.3963,0.5133,1.0
BNCI2014_001,8,20260709,0.2,0.0999,0.1974,0.2921,0.384,1.5
BNCI2014_001,9,0,0.321,0.1637,0.3273,0.4908,0.6539,1.0
BNCI2014_001,9,20260707,0.321,0.1667,0.3312,0.4934,0.6527,1.0
BNCI2014_001,9,20260708,0.321,0.1429,0.2762,0.4003,0.5155,1.5
BNCI2014_001,9,20260709,0.321,0.1693,0.3359,0.4996,0.6597,1.0
BNCI2015_001,10,0,0.5426,0.2839,0.6935,1.2238,1.7869,1.0
BNCI2015_001,10,20260707,0.5426,0.2783,0.7786,1.4674,2.2452,1.0
BNCI2015_001,10,20260708,0.5426,0.4371,0.9572,1.5212,2.0803,1.0
BNCI2015_001,10,20260709,0.5426,0.2262,0.3626,0.4253,0.4397,2.0
BNCI2015_001,11,0,5.3539,2.5385,5.28,8.029,10.5992,1.5
BNCI2015_001,11,20260707,5.3539,2.6947,5.4355,8.1694,10.9115,1.0
BNCI2015_001,11,20260708,5.3539,2.6225,5.4117,8.2468,11.1278,1.0
BNCI2015_001,11,20260709,5.3539,2.9909,5.7013,8.0825,10.1876,1.0
BNCI2015_001,12,0,3.6324,1.8193,3.5984,5.1905,6.5286,1.5
BNCI2015_001,12,20260707,3.6324,1.6568,3.4488,5.224,6.9167,1.5
BNCI2015_001,12,20260708,3.6324,2.1602,3.8796,5.1171,6.0226,1.0
BNCI2015_001,12,20260709,3.6324,2.0696,4.3162,6.6444,8.9938,1.0
BNCI2015_001,1,0,0.2,0.095,0.1808,0.2578,0.3262,1.5
BNCI2015_001,1,20260707,0.2,0.1,0.1979,0.2938,0.388,1.5
BNCI2015_001,1,20260708,0.2,0.1043,0.212,0.3232,0.4377,1.0
BNCI2015_001,1,20260709,0.2,0.101,0.1976,0.29,0.3781,1.5
BNCI2015_001,2,0,0.2,0.097,0.2153,0.3571,0.5237,1.0
BNCI2015_001,2,20260707,0.2,0.1124,0.2453,0.4023,0.5855,1.0
BNCI2015_001,2,20260708,0.2,0.1069,0.2076,0.3054,0.4033,1.0
BNCI2015_001,2,20260709,0.2,0.0979,0.2034,0.3191,0.4475,1.0
BNCI2015_001,3,0,0.8078,0.3896,0.9221,1.5642,2.268,1.0
BNCI2015_001,3,20260707,0.8078,0.3953,0.76,1.1016,1.425,1.5
BNCI2015_001,3,20260708,0.8078,0.3406,0.6224,0.8779,1.1171,1.5
BNCI2015_001,3,20260709,0.8078,0.396,0.65,0.7897,0.8487,2.0
BNCI2015_001,4,0,0.4236,0.2013,0.4246,0.6665,0.9211,1.0
BNCI2015_001,4,20260707,0.4236,0.2199,0.4561,0.706,0.9647,1.0
BNCI2015_001,4,20260708,0.4236,0.2576,0.574,0.9354,1.3255,1.0
BNCI2015_001,4,20260709,0.4236,0.1836,0.3419,0.4858,0.6228,1.5
