strategy,k,hit_rate,random_hit_rate,hit_enrichment,precision_at_k,random_precision_at_k,precision_enrichment
source_score,1,0.5061728395061729,0.429723378036041,1.1779038920794298,0.5061728395061729,0.429723378036041,1.1779038920794298
source_score,3,0.6728395061728395,0.657863664562552,1.0227643544050207,0.5288065843621399,0.429723378036041,1.230574391318754
source_score,5,0.8148148148148148,0.7504321455540054,1.0857941249482044,0.5320987654320988,0.429723378036041,1.2382355548444737
source_score,10,0.8888888888888888,0.8519258556220984,1.0433876176228964,0.49814814814814806,0.429723378036041,1.1592298059854873
target_unlabeled_loto,1,0.35185185185185186,0.429723378036041,0.818786851811311,0.35185185185185186,0.429723378036041,0.818786851811311
target_unlabeled_loto,3,0.6851851851851852,0.657863664562552,1.0415306728344706,0.3765432098765432,0.429723378036041,0.87624557825421
target_unlabeled_loto,5,0.7592592592592593,0.7504321455540054,1.0117627073380995,0.4000000000000001,0.429723378036041,0.9308313683749642
target_unlabeled_loto,10,0.8333333333333334,0.8519258556220984,0.9781758915214654,0.4222222222222223,0.429723378036041,0.9825442221735733
source_plus_target_unlabeled_loto,1,0.4012345679012346,0.429723378036041,0.933704304697109,0.4012345679012346,0.429723378036041,0.933704304697109
source_plus_target_unlabeled_loto,3,0.7407407407407407,0.657863664562552,1.1259791057669952,0.4279835390946502,0.429723378036041,0.9959512583435829
source_plus_target_unlabeled_loto,5,0.7901234567901234,0.7504321455540054,1.0528912726770465,0.4160493827160494,0.429723378036041,0.9681795405628485
source_plus_target_unlabeled_loto,10,0.8271604938271605,0.8519258556220984,0.970930144176862,0.432716049382716,0.429723378036041,1.006964180911805
target_grouped_centered_score,1,0.5061728395061729,0.429723378036041,1.1779038920794298,0.5061728395061729,0.429723378036041,1.1779038920794298
target_grouped_centered_score,3,0.6728395061728395,0.657863664562552,1.0227643544050207,0.5288065843621399,0.429723378036041,1.230574391318754
target_grouped_centered_score,5,0.8148148148148148,0.7504321455540054,1.0857941249482044,0.5320987654320988,0.429723378036041,1.2382355548444737
target_grouped_centered_score,10,0.8888888888888888,0.8519258556220984,1.0433876176228964,0.49814814814814806,0.429723378036041,1.1592298059854873
