seed,target,level,regime,category,has_joint_good,selected_joint_good,nearest_order_distance,nearest_order_distance_norm,nearest_epoch_distance,selected_score_rank,best_joint_score_rank,source_top1_joint,source_top3_has_joint,source_top5_has_joint,bacc_regret_to_best_joint,nll_regret_to_best_joint,ece_regret_to_best_joint
0,1,0,S0_full_support,source_rank_not_enriched_enough,1,0,7.0,0.3684210526315789,70.0,16,6,0,0,0,0.079861111111111,0.0,0.028934226538118446
0,1,0,S2_rare_cells,source_rank_not_enriched_enough,1,0,7.0,0.3684210526315789,70.0,10,6,0,0,0,0.079861111111111,0.0,0.028934226538118446
0,1,0,S3_nonestimable_cells,source_rank_not_enriched_enough,1,0,7.0,0.3684210526315789,70.0,11,6,0,0,0,0.079861111111111,0.0,0.028934226538118446
0,1,1,S0_full_support,selected_joint_good,1,1,0.0,0.0,0.0,8,2,0,1,1,0.0190972222222221,0.05910097060866715,0.014128498229959652
0,1,1,S2_rare_cells,selected_joint_good,1,1,0.0,0.0,0.0,12,4,0,0,1,0.0190972222222221,0.05910097060866715,0.014128498229959652
0,1,1,S3_nonestimable_cells,selected_joint_good,1,1,0.0,0.0,0.0,8,5,0,0,1,0.0190972222222221,0.05910097060866715,0.014128498229959652
0,2,0,S0_full_support,selected_joint_good,1,1,0.0,0.0,0.0,27,1,1,1,1,0.010416666666666685,0.28495823272276355,0.06492600893763659
0,2,0,S2_rare_cells,selected_joint_good,1,1,0.0,0.0,0.0,14,1,1,1,1,0.010416666666666685,0.28495823272276355,0.06492600893763659
0,2,0,S3_nonestimable_cells,selected_joint_good,1,1,0.0,0.0,0.0,18,1,1,1,1,0.010416666666666685,0.28495823272276355,0.06492600893763659
0,2,1,S0_full_support,adjacent_near_miss,1,0,1.0,0.037037037037037035,5.0,25,1,1,1,1,0.059027777777777846,0.50159585718147,0.17806911201135064
0,2,1,S2_rare_cells,adjacent_near_miss,1,0,1.0,0.037037037037037035,5.0,25,1,1,1,1,0.059027777777777846,0.50159585718147,0.17806911201135064
0,2,1,S3_nonestimable_cells,adjacent_near_miss,1,0,1.0,0.037037037037037035,5.0,25,1,1,1,1,0.059027777777777846,0.50159585718147,0.17806911201135064
0,3,0,S0_full_support,adjacent_near_miss,1,0,1.0,0.045454545454545456,5.0,23,1,1,1,1,0.16145833333333337,0.24409773196509488,0.08466597985004098
0,3,0,S2_rare_cells,adjacent_near_miss,1,0,1.0,0.045454545454545456,5.0,21,1,1,1,1,0.16145833333333337,0.24409773196509488,0.08466597985004098
0,3,0,S3_nonestimable_cells,adjacent_near_miss,1,0,1.0,0.045454545454545456,5.0,22,1,1,1,1,0.16145833333333337,0.24409773196509488,0.08466597985004098
0,3,1,S0_full_support,scarcity_no_joint_good,0,0,,,,25,,0,0,0,,,
0,3,1,S2_rare_cells,scarcity_no_joint_good,0,0,,,,24,,0,0,0,,,
0,3,1,S3_nonestimable_cells,scarcity_no_joint_good,0,0,,,,24,,0,0,0,,,
0,4,0,S0_full_support,selected_joint_good,1,1,0.0,0.0,0.0,18,2,0,1,1,0.0,0.046931894060114665,0.008883911888435903
0,4,0,S2_rare_cells,selected_joint_good,1,1,0.0,0.0,0.0,18,3,0,1,1,0.0,0.046931894060114665,0.008883911888435903
0,4,0,S3_nonestimable_cells,selected_joint_good,1,1,0.0,0.0,0.0,17,3,0,1,1,0.0,0.046931894060114665,0.008883911888435903
0,4,1,S0_full_support,source_top5_available_selection_missed,1,0,2.0,0.05714285714285714,20.0,7,1,1,1,1,0.10416666666666663,0.40961046747733043,0.21308055643769352
0,4,1,S2_rare_cells,source_top5_available_selection_missed,1,0,2.0,0.05714285714285714,20.0,9,1,1,1,1,0.10416666666666663,0.40961046747733043,0.21308055643769352
0,4,1,S3_nonestimable_cells,source_top5_available_selection_missed,1,0,2.0,0.05714285714285714,20.0,6,1,1,1,1,0.10416666666666663,0.40961046747733043,0.21308055643769352
0,5,0,S0_full_support,selected_joint_good,1,1,0.0,0.0,0.0,19,2,0,1,1,0.00347222222222221,0.2525655512943872,0.05829395171875246
0,5,0,S2_rare_cells,selected_joint_good,1,1,0.0,0.0,0.0,19,1,1,1,1,0.00347222222222221,0.2525655512943872,0.05829395171875246
0,5,0,S3_nonestimable_cells,selected_joint_good,1,1,0.0,0.0,0.0,18,1,1,1,1,0.00347222222222221,0.2525655512943872,0.05829395171875246
0,5,1,S0_full_support,source_rank_not_enriched_enough,1,0,12.0,0.5714285714285714,120.0,14,15,0,0,0,0.022569444444444475,0.0,0.0
0,5,1,S2_rare_cells,source_rank_not_enriched_enough,1,0,12.0,0.5714285714285714,120.0,9,16,0,0,0,0.022569444444444475,0.0,0.0
0,5,1,S3_nonestimable_cells,source_rank_not_enriched_enough,1,0,12.0,0.5714285714285714,120.0,12,15,0,0,0,0.022569444444444475,0.0,0.0
