budget_h,group_id,target_windows,take_windows,available_train_windows,target_proportion_by_windows,realized_proportion_by_windows,absolute_proportion_error,quota_windows,reference_scheme
200,015e0f55bbea866b_LE,24000,2553,51346,0.10639827760198764,0.106375,2.3277601987642393e-05,2553.558662447703,LE
200,1b459fa27e8ef82f_LE,24000,3383,68019,0.14094777478692785,0.14095833333333332,1.055854640547027e-05,3382.746594886268,LE
200,4ac580a294689373_LE,24000,310,6225,0.012899335451103748,0.012916666666666667,1.7331215562918847e-05,309.58405082648994,LE
200,6882d6283bd5a576_REF,24000,45,912,0.001889830350426766,0.001875,1.4830350426766128e-05,45.355928410242385,REF
200,810e5e581c9b962e_REF,24000,4477,90018,0.18653371544376823,0.18654166666666666,7.951222898427979e-06,4476.809170650437,REF
200,8f63aeb560d76a12_REF,24000,13232,266063,0.5513310663657858,0.5513333333333333,2.2669675475706086e-06,13231.945592778859,REF
500,015e0f55bbea866b_LE,60000,6384,51346,0.10639827760198764,0.1064,1.7223980123548532e-06,6383.896656119258,LE
500,1b459fa27e8ef82f_LE,60000,8457,68019,0.14094777478692785,0.14095,2.225213072137855e-06,8456.866487215671,LE
500,4ac580a294689373_LE,60000,774,6225,0.012899335451103748,0.0129,6.645488962522816e-07,773.9601270662249,LE
500,6882d6283bd5a576_REF,60000,113,912,0.001889830350426766,0.0018833333333333334,6.497017093432629e-06,113.38982102560595,REF
500,810e5e581c9b962e_REF,60000,11192,90018,0.18653371544376823,0.18653333333333333,3.8211043490443686e-07,11192.022926626094,REF
500,8f63aeb560d76a12_REF,60000,33080,266063,0.5513310663657858,0.5513333333333333,2.2669675475706086e-06,33079.86398194715,REF
1000,015e0f55bbea866b_LE,120000,12768,51346,0.10639827760198764,0.1064,1.7223980123548532e-06,12767.793312238517,LE
1000,1b459fa27e8ef82f_LE,120000,16914,68019,0.14094777478692785,0.14095,2.225213072137855e-06,16913.732974431343,LE
1000,4ac580a294689373_LE,120000,1548,6225,0.012899335451103748,0.0129,6.645488962522816e-07,1547.9202541324498,LE
1000,6882d6283bd5a576_REF,120000,227,912,0.001889830350426766,0.0018916666666666667,1.8363162399006542e-06,226.7796420512119,REF
1000,810e5e581c9b962e_REF,120000,22384,90018,0.18653371544376823,0.18653333333333333,3.8211043490443686e-07,22384.045853252188,REF
1000,8f63aeb560d76a12_REF,120000,66159,266063,0.5513310663657858,0.551325,6.066365785817318e-06,66159.7279638943,REF
2000,015e0f55bbea866b_LE,240000,25536,51346,0.10639827760198764,0.1064,1.7223980123548532e-06,25535.586624477033,LE
2000,1b459fa27e8ef82f_LE,240000,33827,68019,0.14094777478692785,0.14094583333333333,1.941453594528353e-06,33827.465948862686,LE
2000,4ac580a294689373_LE,240000,3096,6225,0.012899335451103748,0.0129,6.645488962522816e-07,3095.8405082648997,LE
2000,6882d6283bd5a576_REF,240000,454,912,0.001889830350426766,0.0018916666666666667,1.8363162399006542e-06,453.5592841024238,REF
2000,810e5e581c9b962e_REF,240000,44768,90018,0.18653371544376823,0.18653333333333333,3.8211043490443686e-07,44768.091706504376,REF
2000,8f63aeb560d76a12_REF,240000,132319,266063,0.5513310663657858,0.5513291666666666,1.8996991191233548e-06,132319.4559277886,REF
