feature,class,usable_for_mask_stress
source_guard_worst_bacc,recomputable_under_mask,True
source_guard_worst_nll,recomputable_under_mask,True
source_guard_worst_ece,recomputable_under_mask,True
source_audit_worst_bacc,recomputable_under_mask,True
source_audit_worst_nll,recomputable_under_mask,True
source_audit_worst_ece,recomputable_under_mask,True
selection_leakage_point,recomputable_under_mask,True
audit_leakage_point,recomputable_under_mask,True
R_src,static_training_log_only,False
balanced_err,static_training_log_only,False
train_surrogate,static_training_log_only,False
epoch,static_training_log_only,False
