dataset,subject,seed,n_cls,source_sessions,cal_session,query_sessions,n_cal,n_query,cal_per_class,fallback_used,reason
BNCI2014_001,1,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,1,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,1,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,2,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,2,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,2,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,3,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,3,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,3,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,4,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,4,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,4,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,5,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,5,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,5,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,6,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,6,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,6,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,7,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,7,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,7,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,8,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,8,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,8,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,9,0,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,9,1,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
BNCI2014_001,9,2,4,0train|1test,0train,1test,288,288,0:72;1:72;2:72;3:72,False,OK
