pattern,total_hits,affirmative_hits,files,passed
manuscript drafting,1,0,oaci/reports/C64_TRIAL_LEVEL_INSTRUMENTATION_READINESS.md,1
M1 started,0,0,,1
training authorized,0,0,,1
re-inference authorized,0,0,,1
source-only rescue,1,0,oaci/reports/c64_tables/remaining_summary_escape_hatches.csv,1
OACI rescue,0,0,,1
deployable selector,0,0,,1
checkpoint recommendation,0,0,,1
selected_candidate_id,0,0,,1
chosen checkpoint,0,0,,1
few-label sufficiency,1,0,oaci/reports/C64_SPLIT_LABEL_PROTOCOL.md,1
same-label endpoint oracle available at selection time,0,0,,1
full conditional-CS estimator supported,0,0,,1
full time-series conditional-CS estimator supported,0,0,,1
EEG distribution theorem,0,0,,1
minimax theorem,0,0,,1
Le Cam theorem,0,0,,1
Fano theorem,0,0,,1
BNCI2014_004 used,0,0,,1
"seeds [3,4] used",0,0,,1
GPU required,0,0,,1
