seed,target,level,method_id,standardized_regret,selected_utility,top1,top5,top10,coverage_top1,coverage_top5,coverage_top10,selected_regime,evaluation_label_access_after_selection_freeze,same_label_oracle_accessed,target4_primary
3,1,0,B1,0.8888888888888888,0.09583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,ERM,True,False,False
3,1,0,B2,0.02898550724637684,0.8374999999999999,0.0,0.0,0.0,1.0,1.0,1.0,OACI,True,False,False
3,1,0,B3,0.5893719806763286,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,B4O,0.4637681159420289,0.4625000000000001,0.0,0.0,0.0,0.0,0.0,0.0,OACI,True,False,False
3,1,0,B4S,0.8840579710144928,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,S1,0.7729468599033816,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,S2,0.7729468599033816,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OACI,True,False,False
3,1,0,U2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OACI,True,False,False
3,1,0,U3,0.21739130434782586,0.6750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,OACI,True,False,False
3,1,0,U4,0.7729468599033816,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U5,0.7729468599033816,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U6,0.5893719806763286,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U7,0.6231884057971013,0.325,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U11,0.8888888888888888,0.09583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,ERM,True,False,False
3,1,0,U12,0.7729468599033816,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,SRC,True,False,False
3,1,0,U13,0.21256038647342987,0.6791666666666667,0.0,0.0,0.0,0.0,1.0,1.0,OACI,True,False,False
