seed,method_id,top1,top5,top10
3,B1,0.0625,0.125,0.3125
3,B2,0.0,0.125,0.25
3,B3,0.0,0.125,0.25
3,B4O,0.0,0.125,0.25
3,B4S,0.0,0.125,0.25
3,S1,0.0,0.0,0.0
3,S2,0.0,0.0,0.0625
3,U1,0.0,0.0,0.0
3,U2,0.0,0.0,0.0
3,U3,0.0,0.0,0.0
3,U4,0.0,0.0,0.0
3,U5,0.0,0.0,0.0
3,U6,0.0,0.0,0.0
3,U7,0.0,0.0625,0.0625
3,U11,0.0,0.0,0.0
3,U12,0.0,0.0625,0.0625
3,U13,0.125,0.3125,0.375
3,U14,0.0,0.125,0.125
3,U15,0.0,0.0,0.0
3,B0,0.012345679012345678,0.06172839506172839,0.12345679012345678
3,B5,1.0,1.0,1.0
4,B1,0.0625,0.125,0.25
4,B2,0.0625,0.125,0.25
4,B3,0.0,0.0625,0.1875
4,B4O,0.0,0.0625,0.1875
4,B4S,0.0,0.0625,0.1875
4,S1,0.0,0.0,0.0
4,S2,0.0,0.0,0.0
4,U1,0.0,0.0,0.0
4,U2,0.0,0.0,0.0
4,U3,0.0,0.0,0.0
4,U4,0.0,0.0,0.0
4,U5,0.0,0.0,0.0
4,U6,0.0,0.0,0.0
4,U7,0.0,0.0,0.0
4,U11,0.0,0.0,0.0
4,U12,0.0,0.0,0.0
4,U13,0.0,0.25,0.3125
4,U14,0.0625,0.1875,0.1875
4,U15,0.0,0.0,0.0
4,B0,0.012345679012345678,0.06172839506172839,0.12345679012345678
4,B5,1.0,1.0,1.0
