check_id,object,status,evidence
A01,direct_post_readiness_PI_authorization,PASS,authorization_text_exact_授权_C82E
A02,readiness_commit,PASS,b1cfa00709bcfd2dd3bbd1f6d11c0f57876241e2
A03,protocol_commit,PASS,8b0df50b3707dbb3af4a459b6dc6de36c97d562f
A04,protocol_sha256,PASS,9f58c7a8e6b495a6d8f510c0d72d24ede4485908ef94bc078abe8f124b03a8f3
A05,analysis_lock_commit,PASS,6c6739c61d362bc33df6d8b016e4cda724772a62
A06,analysis_lock_sha256,PASS,d5de6d6ff242b9f3d7f9c318cbdd6e1e16c509060bc14cca59292b738a75f5ce
A07,locked_implementation_objects,PASS,3_of_3
A08,registry_artifacts,PASS,19_of_19
A09,field_view_objects,PASS,11_of_11
A10,method_registry,PASS,34_of_34
A11,frozen_selection_manifest,PASS,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519
A12,frozen_selection_payload,PASS,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257
A13,field_view_manifest_digest,PASS,6180275dcef26bdda4ae4b291d1ef6dc83434462ecacee0350fa94ae9c6a7fef
A14,external_result_directory_absent,PASS,true
A15,authorization_consumption_marker_absent,PASS,true
A16,real_evaluation_view_opens_before_authorization,PASS,0
A17,scientific_rows_before_authorization,PASS,0
A18,target4_primary_rows,PASS,0
A19,same_label_oracle_accesses,PASS,0
A20,training_forward_reinference_GPU,PASS,0
