seed,target,level,budget,standardized_regret,top1,top5,top10,coverage_top1,coverage_top5,coverage_top10
3,1,0,1,0.3185504415760869,0.033203125,0.109375,0.2001953125,0.0546875,0.208984375,0.37060546875
3,1,0,2,0.24186197916666663,0.04150390625,0.1474609375,0.25390625,0.0693359375,0.27734375,0.4658203125
3,1,0,4,0.1888233129528985,0.04248046875,0.169921875,0.3095703125,0.0986328125,0.3671875,0.58984375
3,1,0,8,0.14485912967995168,0.0498046875,0.2041015625,0.357421875,0.14892578125,0.47802734375,0.69970703125
3,1,0,16,0.12221656099033816,0.04345703125,0.22607421875,0.42236328125,0.19775390625,0.58349609375,0.806640625
3,1,0,32,0.10307923837560387,0.0263671875,0.2373046875,0.47802734375,0.3046875,0.763671875,0.93505859375
3,1,0,FULL,0.028985507246376833,0.0,0.0,0.0,1.0,1.0,1.0
3,1,1,1,0.37108090049342113,0.0283203125,0.14404296875,0.25634765625,0.171875,0.56982421875,0.7998046875
3,1,1,2,0.2945942125822369,0.04296875,0.18896484375,0.33642578125,0.2392578125,0.69384765625,0.88427734375
3,1,1,4,0.2159852145010966,0.0615234375,0.26123046875,0.4560546875,0.32080078125,0.79345703125,0.95166015625
3,1,1,8,0.15553471080043868,0.0869140625,0.37744140625,0.60009765625,0.41455078125,0.90478515625,0.9833984375
3,1,1,16,0.10383472108004395,0.11474609375,0.50634765625,0.74560546875,0.5478515625,0.95361328125,0.99755859375
3,1,1,32,0.07720411869517554,0.1708984375,0.68896484375,0.91552734375,0.65087890625,0.9794921875,1.0
3,1,1,FULL,0.026315789473684348,0.0,1.0,1.0,1.0,1.0,1.0
3,2,0,1,0.3750985320908072,0.0146484375,0.09326171875,0.20654296875,0.06689453125,0.32275390625,0.56982421875
3,2,0,2,0.3117248808856502,0.03173828125,0.14892578125,0.283203125,0.09619140625,0.41943359375,0.68603515625
3,2,0,4,0.2681408527186099,0.03369140625,0.17236328125,0.31201171875,0.10888671875,0.474609375,0.74658203125
3,2,0,8,0.24297794632847536,0.03076171875,0.18798828125,0.3564453125,0.13818359375,0.54736328125,0.80908203125
3,2,0,16,0.2248677480381166,0.0390625,0.203125,0.3828125,0.14501953125,0.57275390625,0.84716796875
3,2,0,32,0.21839309487107622,0.03369140625,0.1806640625,0.40625,0.12158203125,0.56787109375,0.90673828125
3,2,0,FULL,0.13452914798206275,0.0,0.0,0.0,0.0,1.0,1.0
3,2,1,1,0.3069283621651785,0.0478515625,0.171875,0.2978515625,0.12158203125,0.44921875,0.69775390625
3,2,1,2,0.243467058454241,0.06787109375,0.23779296875,0.3779296875,0.1513671875,0.52587890625,0.765625
3,2,1,4,0.20782034737723204,0.08984375,0.30322265625,0.4833984375,0.15625,0.609375,0.84130859375
3,2,1,8,0.1828046526227678,0.12451171875,0.4189453125,0.60400390625,0.1923828125,0.689453125,0.89599609375
3,2,1,16,0.17391967773437494,0.18798828125,0.572265625,0.74072265625,0.2353515625,0.775390625,0.9375
3,2,1,32,0.1672188895089285,0.31298828125,0.78515625,0.90478515625,0.33203125,0.8916015625,0.98388671875
3,2,1,FULL,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,0,1,0.39379882812500006,0.021484375,0.10107421875,0.20556640625,0.0419921875,0.17529296875,0.31982421875
3,3,0,2,0.3077024063974057,0.02783203125,0.1337890625,0.26220703125,0.05810546875,0.2431640625,0.4140625
