check_id,check,passed,blocking,evidence
SR01,C82_protocol_commit_reachable,1,0,8b0df50
SR02,C82_protocol_hash_replays,1,0,9f58c7a8e6b495a6d8f510c0d72d24ede4485908ef94bc078abe8f124b03a8f3
SR03,C82_analysis_lock_commit_reachable,1,0,6c6739c
SR04,C82_analysis_lock_hash_replays,1,0,d5de6d6ff242b9f3d7f9c318cbdd6e1e16c509060bc14cca59292b738a75f5ce
SR05,readiness_preceded_authorization,1,0,b1cfa00_before_5644157
SR06,direct_authorization_preceded_execution,1,0,5644157_before_job_895214
SR07,authorization_text_is_direct,1,0,授权_C82E
SR08,no_magic_token_or_hash_recital_required,1,0,policy_3d9dd76
SR09,authorization_consumed_before_payload_or_evaluation,1,0,consumption_record_true
SR10,same_identity_rerun_forbidden,1,0,consumption_record_false
SR11,pre_adapter_failed_attempt_preserved,1,0,job_895213
SR12,pre_adapter_attempt_had_zero_data_access,1,0,runtime_0_and_entrypoint_not_invoked
SR13,scientific_execution_job_completed,1,0,job_895214_COMPLETED
SR14,scientific_execution_exit_zero,1,0,ExitCode_0:0
SR15,scientific_execution_stderr_empty,1,0,0_bytes
SR16,scientific_execution_GPU_zero,1,0,CPU_only_48_cores
SR17,atomic_result_directory_published,1,0,staging_then_rename
SR18,result_JSON_hash_replays,1,0,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7
SR19,artifact_manifest_hash_replays,1,0,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2
SR20,registered_tables_complete,1,0,23_of_23
SR21,registered_table_hashes_replay,1,0,23_of_23
SR22,registered_table_row_counts_replay,1,0,23_of_23
SR23,method_context_rows_complete,1,0,672_of_672
SR24,canonical_schema_fields_complete,1,0,16_of_16
SR25,mixed_row_dictionary_order_nonsemantic,1,0,canonical_serializer
SR26,contexts_complete,1,0,32_of_32
SR27,selection_methods_complete,1,0,19_of_19
SR28,frozen_selection_manifest_replays,1,0,4677ed3aba7758ea0008c2093b44d6fb81d425930727e5941950179737ebd519
SR29,frozen_selection_payload_replays,1,0,1ed893acd9190914eb4cb122f3ef26bc1e2355c4103894b816894bd264669257
SR30,selection_recomputation_zero,1,0,false
SR31,evaluation_views_open_after_selection_replay,1,0,16_views
SR32,evaluation_label_row_accounting,1,0,4746_rows
SR33,construction_label_content_not_reopened,1,0,C80_Q0_artifacts_only
SR34,target4_primary_rows_zero,1,0,672_rows_checked
SR35,same_label_oracle_accesses_zero,1,0,672_rows_checked
SR36,training_forward_reinference_zero,1,0,0_0_0
SR37,all_primary_Q1_Q2_paths_executed,1,0,12_of_12
SR38,seed3_U13_Q1_pass_replays,1,0,maxT_p_0.015564_and_8_favorable_targets
SR39,no_other_Q1_pass_replays,1,0,11_of_11_fail
SR40,no_Q2_pass_replays,1,0,12_of_12_fail
SR41,A_seed3_empty,1,0,NONE
SR42,A_seed4_empty,1,0,NONE
SR43,A_intersection_empty,1,0,NONE
SR44,B_seed3_exact,1,0,U13
SR45,B_seed4_empty,1,0,NONE
SR46,B_intersection_empty,1,0,NONE
SR47,seed3_category_replays,1,0,B
SR48,seed4_category_replays,1,0,C
SR49,same_method_taxonomy_enforced,1,0,method_intersections_explicit
SR50,LOTO_panels_complete,1,0,16_of_16
SR51,LOTO_preservation_replays,1,0,7_of_16
SR52,LOTO_threshold_fails,1,0,7_less_than_12
SR53,registered_taxonomy_precedence_replays,1,0,C82_D
SR54,Q3_objective_dependence_emitted,1,0,48_rows
SR55,Q5_information_class_summary_emitted,1,0,8_rows
SR56,U16_diagnostic_emitted_and_secondary,1,0,32_rows_and_enters_primary_zero
SR57,measurement_metrics_follow_applicability,1,0,448_rows_and_no_manufactured_metrics
SR58,LORO_formally_nonoperative,1,0,no_cross_regime_transport_claim
SR59,claim_boundary_and_historical_C81_gate_preserved,1,0,post_C81_existing_field_C81_E_unchanged
