seed,target,level,source_method_id,accuracy_on_the_line_MAE,accuracy_on_the_line_incremental_R2,calibration_intercept,calibration_slope,diagnostic_only,enters_primary_taxonomy
3,1,0,U15,0.23300800041052058,-0.6416038074976838,0.8261867098383343,-0.5892189592325984,1,0
3,1,1,U15,0.2301838908123435,-0.283909261781232,0.6968197746888398,-0.3980377924519831,1,0
3,2,0,U15,0.21533680697353308,-0.3729696590020557,1.0436658915447508,-1.0376602726868152,1,0
3,2,1,U15,0.24505470108480823,-0.6315621725340872,1.0997764145016382,-1.1182226063734653,1,0
3,3,0,U15,0.20324262781198044,-0.28611191176589457,0.6565194924766076,-0.2938904735378312,1,0
3,3,1,U15,0.2724739615454135,-0.36783172343845183,0.7423507786195452,-0.45532256592942355,1,0
3,5,0,U15,0.2691182923379184,-1.3116236851969925,1.5939180916162825,-1.5278559263830742,1,0
3,5,1,U15,0.24241988595423808,-1.1117789743760937,1.4064444287106892,-1.367225274122948,1,0
3,6,0,U15,0.27224883975996,-0.7741477577963081,1.194918891061313,-1.2398638458946378,1,0
3,6,1,U15,0.30633154395505346,-1.04308451201556,1.2179921566951564,-1.3824999293402491,1,0
3,7,0,U15,0.26532940018021367,-0.8114016809223024,1.0130061174367746,-0.8952100476534505,1,0
3,7,1,U15,0.2811172076171006,-0.7863954873307295,1.3896698807779528,-1.723454563034422,1,0
3,8,0,U15,0.22302218931503429,-1.2072724877652252,0.6722563362359956,-0.3239037964916264,1,0
3,8,1,U15,0.19697388058810597,-0.3944034342854046,0.5309278509257923,-0.0533738964805638,1,0
3,9,0,U15,0.2497614338197041,-0.4388952926643441,0.7854318246251523,-0.4864020790358754,1,0
3,9,1,U15,0.22524210433775396,-0.21290580809292337,0.4286736393726268,0.12048070087648614,1,0
4,1,0,U15,0.271985701585374,-0.6549976100647348,1.2610439279343006,-1.3766129298566279,1,0
4,1,1,U15,0.2313598326485397,-0.31149733764945386,0.7652812596244455,-0.5135731313708585,1,0
4,2,0,U15,0.20797419912326043,-0.6186524325237979,0.8906174596291292,-0.6817542161214922,1,0
4,2,1,U15,0.2417319809406264,-0.48403685721080447,1.0223142802371314,-1.0040858641717025,1,0
4,3,0,U15,0.27086951515221425,-0.5069272849837403,1.1801161191740699,-1.1721410938264176,1,0
4,3,1,U15,0.24943222230762982,-0.40014492630890963,0.9706311749076404,-0.8660447531164875,1,0
4,5,0,U15,0.25303205342160934,-1.2158664353169666,0.8972514615575804,-0.5865659764718549,1,0
4,5,1,U15,0.25253121564428616,-1.1108933196719795,1.3483722586072768,-1.2215626205203585,1,0
4,6,0,U15,0.30158979233868394,-0.9217740582975791,1.2128767462153414,-1.2590715835676745,1,0
4,6,1,U15,0.2524910396318373,-0.525197785629637,1.2426074886244873,-1.3641302794607066,1,0
4,7,0,U15,0.32481794201690356,-0.9952186458643824,1.1490784955604656,-1.2565258026931958,1,0
4,7,1,U15,0.21962916808399474,-1.4619648715259017,1.0382620329786443,-0.9906588967646137,1,0
4,8,0,U15,0.22025362857333597,-0.7475050046726412,0.6743214216377846,-0.299339686756599,1,0
4,8,1,U15,0.23670422000940625,-0.7895155706546628,0.857702185768179,-0.6156006409907018,1,0
4,9,0,U15,0.22713671912117403,-0.5041436133138162,0.6882315476893291,-0.3128315605387422,1,0
4,9,1,U15,0.26062194882975454,-1.0666222838937767,1.063931129306783,-0.8662841652517728,1,0
