seed,method_id,mean_regret_improvement_vs_source,simultaneous_lower,maxT_p,favorable_targets,worst_target,Q1_pass
3,U7,0.1379581552394373,-0.01943114028848414,0.7120622568093385,6,-0.14734569875279813,0
3,U5,0.01616451995698158,-0.14122477557093982,1.0,5,-0.062229740550929,0
3,U11,-0.16670486274625124,-0.32409415827417265,1.0,0,-0.28301100970592485,0
3,U13,0.440835408718572,0.2834461131906506,0.01556420233463035,8,0.16688514671775734,1
3,U14,0.01726476895043287,-0.14012452657748853,1.0,4,-0.28301100970592485,0
3,U15,0.0,-0.1573892955279214,1.0,0,0.0,0
4,U7,0.08391759414071356,-0.07347170138720785,0.9727626459143969,5,-0.15844473733760134,0
4,U5,0.03864996874622531,-0.1187393267816961,1.0,3,-0.07688466215042555,0
4,U11,-0.06935579148251851,-0.22674508701043994,1.0,3,-0.27121069478440984,0
4,U13,0.3394882268566197,0.1820989313286983,0.10116731517509728,7,-0.07688466215042555,0
4,U14,0.14372818687164696,-0.013661108656274457,0.6264591439688716,7,-0.06988326115609111,0
4,U15,0.0,-0.1573892955279214,1.0,0,0.0,0
