seed,method_id,information_class,mean_selected_utility
3,B1,I0,0.475
3,B2,I0,0.5936197916666666
3,B3,I0,0.4076822916666667
3,B4O,I0,0.6114583333333333
3,B4S,I0,0.32786458333333335
3,S1,IS,0.22291666666666668
3,S2,IS,0.25520833333333337
3,U1,IU,0.06302083333333333
3,U2,IU,0.06302083333333333
3,U3,IU,0.21432291666666667
3,U4,IU,0.2572916666666667
3,U5,IU,0.24010416666666667
3,U6,ISU,0.23229166666666667
3,U7,ISU,0.3541666666666667
3,U11,IU,0.06692708333333333
3,U12,ISU,0.26666666666666666
3,U13,ISU,0.6361979166666667
3,U14,IU,0.23750000000000004
3,U15,ISU,0.22291666666666668
3,B0,I0,0.5
3,B5,IOr,0.9463541666666666
4,B1,I0,0.562890625
4,B2,I0,0.6351562500000001
4,B3,I0,0.45364583333333336
4,B4O,I0,0.5537760416666666
4,B4S,I0,0.34791666666666665
4,S1,IS,0.22213541666666667
4,S2,IS,0.27083333333333337
4,U1,IU,0.13645833333333335
4,U2,IU,0.12838541666666667
4,U3,IU,0.19453125
4,U4,IU,0.27265625000000004
4,U5,IU,0.25520833333333337
4,U6,ISU,0.19817708333333334
4,U7,ISU,0.2963541666666667
4,U11,IU,0.15026041666666667
4,U12,ISU,0.29218750000000004
4,U13,ISU,0.5338541666666667
4,U14,IU,0.33489583333333334
4,U15,ISU,0.22213541666666667
4,B0,I0,0.5
4,B5,IOr,0.9507812499999999
