method_id,seed3_regret,seed4_regret,paired_difference_seed4_minus_seed3,same_direction_vs_source,seed_is_paired_factor
B1,0.514146369187663,0.4236039414725074,-0.09054242771515558,1,1
B2,0.38275474312529983,0.35048034859056487,-0.03227439453473496,1,1
B3,0.5875927158017974,0.5524925321886625,-0.03510018361313494,1,1
B4O,0.36685361869431765,0.43622598833231857,0.06937236963800092,1,1
B4S,0.6694283702277943,0.6653223898433219,-0.004105980384472407,1,1
S1,0.7794759728707445,0.8048232601796825,0.025347287308937982,1,1
S2,0.7458422347149141,0.7511831739965471,0.005340939281633039,1,1
U1,0.9507639950753006,0.8929213720555298,-0.057842623019770834,1,1
U2,0.9507639950753006,0.9036117710186337,-0.04715222405666697,1,1
U3,0.7823694148715953,0.821105690726313,0.03873627585471773,1,1
U4,0.7438539057439516,0.7477983367700073,0.003944431026055684,1,1
U5,0.763311452913763,0.7661732914334574,0.0028618385196943485,1,1
U6,0.7706043707603751,0.8328870248791298,0.062282654118754666,0,1
U7,0.6415178176313072,0.7209056660389691,0.07938784840766189,1,1
U11,0.9461808356169957,0.8741790516622012,-0.07200178395479451,1,1
U12,0.7341894679164005,0.725759671344317,-0.008429796572083537,1,1
U13,0.33864056415217253,0.4653350333230629,0.1266944691708904,1,1
U14,0.7622112039203117,0.6610950733080356,-0.10111613061227609,1,1
U15,0.7794759728707445,0.8048232601796825,0.025347287308937982,1,1
B0,0.48198217863506276,0.4975837803416094,0.01560160170654662,1,1
B5,0.0,0.0,0.0,1,1
