seed,target,method_id,target_regret,source_relative_gain,Q1_catastrophic_floor_breached,Q2_catastrophic_excess_breached
3,1,B1,0.8698830409356725,-0.08428680396643784,0,1
3,1,B2,0.2250190694126621,0.5605771675565725,0,0
3,1,B3,0.6280193236714976,0.15757691329773704,0,1
3,1,B4O,0.5761823035850495,0.20941393338418512,0,1
3,1,B4S,0.5867658276125096,0.19883040935672502,0,1
3,1,S1,0.7855962369692346,0.0,0,1
3,1,S2,0.7176137808288838,0.06798245614035081,0,1
3,1,U1,1.0,-0.21440376303076536,1,1
3,1,U2,1.0,-0.21440376303076536,1,1
3,1,U3,0.3192219679633866,0.46637426900584805,0,0
3,1,U4,0.7855962369692346,0.0,0,1
3,1,U5,0.7855962369692346,0.0,0,1
3,1,U6,0.6938087973557081,0.09178743961352653,0,1
3,1,U7,0.7194889397406559,0.06610729722857878,0,1
3,1,U11,0.9444444444444444,-0.15884820747520978,1,1
3,1,U12,0.7855962369692346,0.0,0,1
3,1,U13,0.2685608949911009,0.5170353419781337,0,0
3,1,U14,1.0,-0.21440376303076536,1,1
3,1,U15,0.7855962369692346,0.0,0,1
3,1,B0,0.4469870327993897,0.3386092041698449,0,0
3,1,B5,0.0,0.7855962369692346,0,0
3,2,B1,0.2802690582959641,0.44016255605381166,0,0
3,2,B2,0.646390534913517,0.07404107943625882,0,1
3,2,B3,0.4564181614349776,0.26401345291479816,0,0
3,2,B4O,0.19696909032671367,0.5234625240230621,0,0
3,2,B4S,0.471943065342729,0.24848854900704676,0,0
3,2,S1,0.7204316143497758,0.0,0,1
3,2,S2,0.7806994714926329,-0.060267857142857095,0,1
3,2,U1,1.0,-0.27956838565022424,1,1
3,2,U2,1.0,-0.27956838565022424,1,1
3,2,U3,1.0,-0.27956838565022424,1,1
3,2,U4,0.7826613549007048,-0.062229740550929,0,1
3,2,U5,0.7826613549007048,-0.062229740550929,0,1
3,2,U6,0.7291299647661755,-0.00869835041639977,0,1
3,2,U7,0.6016976297245356,0.11873398462524021,0,1
3,2,U11,1.0,-0.27956838565022424,1,1
