seed,method_id,k,coverage
3,B1,1,0.0625
3,B1,5,0.3125
3,B1,10,0.375
3,B2,1,0.125
3,B2,5,0.4375
3,B2,10,0.5
3,B3,1,0.0
3,B3,5,0.3125
3,B3,10,0.375
3,B4O,1,0.1875
3,B4O,5,0.375
3,B4O,10,0.4375
3,B4S,1,0.0
3,B4S,5,0.3125
3,B4S,10,0.375
3,S1,1,0.0
3,S1,5,0.0
3,S1,10,0.0
3,S2,1,0.0
3,S2,5,0.0625
3,S2,10,0.0625
3,U1,1,0.0
3,U1,5,0.0
3,U1,10,0.0
3,U2,1,0.0
3,U2,5,0.0
3,U2,10,0.0
3,U3,1,0.0
3,U3,5,0.3125
3,U3,10,0.5
3,U4,1,0.0
3,U4,5,0.0
3,U4,10,0.0
3,U5,1,0.0
3,U5,5,0.0
3,U5,10,0.0
3,U6,1,0.0
3,U6,5,0.0
3,U6,10,0.0
3,U7,1,0.0
3,U7,5,0.0625
3,U7,10,0.0625
3,U11,1,0.0
3,U11,5,0.0
3,U11,10,0.0625
3,U12,1,0.0
3,U12,5,0.0625
3,U12,10,0.0625
3,U13,1,0.125
3,U13,5,0.6875
3,U13,10,0.8125
3,U14,1,0.0
3,U14,5,0.1875
3,U14,10,0.25
3,U15,1,0.0
3,U15,5,0.0
3,U15,10,0.0
3,B0,1,0.07021604938271607
3,B0,5,0.29658366129885116
3,B0,10,0.4882896261110538
3,B5,1,0.9375
3,B5,5,0.9375
3,B5,10,0.9375
4,B1,1,0.125
4,B1,5,0.375
4,B1,10,0.5
4,B2,1,0.125
4,B2,5,0.25
4,B2,10,0.5
4,B3,1,0.0625
4,B3,5,0.25
4,B3,10,0.5
4,B4O,1,0.0625
4,B4O,5,0.3125
4,B4O,10,0.5625
4,B4S,1,0.0625
4,B4S,5,0.3125
4,B4S,10,0.5625
4,S1,1,0.0
4,S1,5,0.0
4,S1,10,0.0
4,S2,1,0.0
4,S2,5,0.0
4,S2,10,0.0625
4,U1,1,0.0
4,U1,5,0.0
4,U1,10,0.0
4,U2,1,0.0
4,U2,5,0.0
4,U2,10,0.0
4,U3,1,0.0
4,U3,5,0.25
4,U3,10,0.3125
4,U4,1,0.0
4,U4,5,0.0
4,U4,10,0.0
4,U5,1,0.0
4,U5,5,0.0
4,U5,10,0.0
4,U6,1,0.0
4,U6,5,0.0
4,U6,10,0.0
4,U7,1,0.0
4,U7,5,0.0625
4,U7,10,0.125
4,U11,1,0.0
4,U11,5,0.0625
4,U11,10,0.0625
4,U12,1,0.0
4,U12,5,0.0
4,U12,10,0.0
4,U13,1,0.125
4,U13,5,0.4375
4,U13,10,0.625
4,U14,1,0.0
4,U14,5,0.1875
4,U14,10,0.25
4,U15,1,0.0
4,U15,5,0.0
4,U15,10,0.0
4,B0,1,0.08410493827160495
4,B0,5,0.34794137385118395
4,B0,10,0.5607306708349127
4,B5,1,0.9375
4,B5,5,0.9375
4,B5,10,1.0
