seed,method_id,endpoint,difference_vs_source,favorable_direction,regret_Q1_pass,endpoint_substitutes_for_regret
3,U7,standardized_regret,0.13795815523943733,0,0,0
3,U7,top1,0.0,0,0,0
3,U7,top5,0.0625,1,0,0
3,U7,top10,0.0625,1,0,0
3,U5,standardized_regret,0.016164519956981538,0,0,0
3,U5,top1,0.0,0,0,0
3,U5,top5,0.0,0,0,0
3,U5,top10,0.0,0,0,0
3,U11,standardized_regret,-0.16670486274625118,0,0,0
3,U11,top1,0.0,0,0,0
3,U11,top5,0.0,0,0,0
3,U11,top10,0.0,0,0,0
3,U13,standardized_regret,0.440835408718572,1,1,0
3,U13,top1,0.125,1,1,0
3,U13,top5,0.3125,1,1,0
3,U13,top10,0.375,1,1,0
3,U14,standardized_regret,0.01726476895043283,0,0,0
3,U14,top1,0.0,0,0,0
3,U14,top5,0.125,1,0,0
3,U14,top10,0.125,1,0,0
3,U15,standardized_regret,0.0,0,0,0
3,U15,top1,0.0,0,0,0
3,U15,top5,0.0,0,0,0
3,U15,top10,0.0,0,0,0
4,U7,standardized_regret,0.08391759414071343,0,0,0
4,U7,top1,0.0,0,0,0
4,U7,top5,0.0,0,0,0
4,U7,top10,0.0,0,0,0
4,U5,standardized_regret,0.03864996874622517,0,0,0
4,U5,top1,0.0,0,0,0
4,U5,top5,0.0,0,0,0
4,U5,top10,0.0,0,0,0
4,U11,standardized_regret,-0.06935579148251869,0,0,0
4,U11,top1,0.0,0,0,0
4,U11,top5,0.0,0,0,0
4,U11,top10,0.0,0,0,0
4,U13,standardized_regret,0.3394882268566196,0,0,0
4,U13,top1,0.0,0,0,0
4,U13,top5,0.25,1,0,0
4,U13,top10,0.3125,1,0,0
4,U14,standardized_regret,0.1437281868716469,0,0,0
4,U14,top1,0.0625,1,0,0
4,U14,top5,0.1875,1,0,0
4,U14,top10,0.1875,1,0,0
4,U15,standardized_regret,0.0,0,0,0
4,U15,top1,0.0,0,0,0
4,U15,top5,0.0,0,0,0
4,U15,top10,0.0,0,0,0
