seed,method_id,information_class,source_relative_regret_gain
3,B1,I0,0.26532960368308156
3,B2,I0,0.3967212297454447
3,B3,I0,0.19188325706894716
3,B4O,I0,0.4126223541764269
3,B4S,I0,0.11004760264295022
3,S1,IS,0.0
3,S2,IS,0.033633738155830484
3,U1,IU,-0.17128802220455608
3,U2,IU,-0.17128802220455608
3,U3,IU,-0.0028934420008507322
3,U4,IU,0.035622067126792945
3,U5,IU,0.016164519956981538
3,U6,ISU,0.008871602110369414
3,U7,ISU,0.13795815523943733
3,U11,IU,-0.16670486274625118
3,U12,ISU,0.04528650495434405
3,U13,ISU,0.440835408718572
3,U14,IU,0.01726476895043283
3,U15,ISU,0.0
3,B0,I0,0.2974937942356818
3,B5,IOr,0.7794759728707445
4,B1,I0,0.3812193187071751
4,B2,I0,0.45434291158911766
4,B3,I0,0.2523307279910201
4,B4O,I0,0.36859727184736396
4,B4S,I0,0.1395008703363606
4,S1,IS,0.0
4,S2,IS,0.05364008618313543
4,U1,IU,-0.08809811187584726
4,U2,IU,-0.09878851083895113
4,U3,IU,-0.016282430546630478
4,U4,IU,0.05702492340967524
4,U5,IU,0.03864996874622517
4,U6,ISU,-0.02806376469944727
4,U7,ISU,0.08391759414071343
4,U11,IU,-0.06935579148251869
4,U12,ISU,0.07906358883536557
4,U13,ISU,0.3394882268566196
4,U14,IU,0.1437281868716469
4,U15,ISU,0.0
4,B0,I0,0.30723947983807315
4,B5,IOr,0.8048232601796825
