seed,method_id,selected_regime,count,fraction
3,B1,ERM,16,1.0
3,B1,OACI,0,0.0
3,B1,ORACLE,0,0.0
3,B1,RANDOM,0,0.0
3,B1,SRC,0,0.0
3,B2,ERM,0,0.0
3,B2,OACI,16,1.0
3,B2,ORACLE,0,0.0
3,B2,RANDOM,0,0.0
3,B2,SRC,0,0.0
3,B3,ERM,0,0.0
3,B3,OACI,0,0.0
3,B3,ORACLE,0,0.0
3,B3,RANDOM,0,0.0
3,B3,SRC,16,1.0
3,B4O,ERM,0,0.0
3,B4O,OACI,16,1.0
3,B4O,ORACLE,0,0.0
3,B4O,RANDOM,0,0.0
3,B4O,SRC,0,0.0
3,B4S,ERM,0,0.0
3,B4S,OACI,0,0.0
3,B4S,ORACLE,0,0.0
3,B4S,RANDOM,0,0.0
3,B4S,SRC,16,1.0
3,S1,ERM,0,0.0
3,S1,OACI,0,0.0
3,S1,ORACLE,0,0.0
3,S1,RANDOM,0,0.0
3,S1,SRC,16,1.0
3,S2,ERM,0,0.0
3,S2,OACI,0,0.0
3,S2,ORACLE,0,0.0
3,S2,RANDOM,0,0.0
3,S2,SRC,16,1.0
3,U1,ERM,0,0.0
3,U1,OACI,7,0.4375
3,U1,ORACLE,0,0.0
3,U1,RANDOM,0,0.0
3,U1,SRC,9,0.5625
3,U2,ERM,0,0.0
3,U2,OACI,7,0.4375
3,U2,ORACLE,0,0.0
3,U2,RANDOM,0,0.0
3,U2,SRC,9,0.5625
3,U3,ERM,0,0.0
3,U3,OACI,9,0.5625
3,U3,ORACLE,0,0.0
3,U3,RANDOM,0,0.0
3,U3,SRC,7,0.4375
3,U4,ERM,0,0.0
3,U4,OACI,0,0.0
3,U4,ORACLE,0,0.0
3,U4,RANDOM,0,0.0
3,U4,SRC,16,1.0
3,U5,ERM,0,0.0
3,U5,OACI,0,0.0
3,U5,ORACLE,0,0.0
3,U5,RANDOM,0,0.0
3,U5,SRC,16,1.0
3,U6,ERM,0,0.0
3,U6,OACI,0,0.0
3,U6,ORACLE,0,0.0
3,U6,RANDOM,0,0.0
3,U6,SRC,16,1.0
3,U7,ERM,0,0.0
3,U7,OACI,6,0.375
3,U7,ORACLE,0,0.0
3,U7,RANDOM,0,0.0
3,U7,SRC,10,0.625
3,U11,ERM,2,0.125
3,U11,OACI,6,0.375
3,U11,ORACLE,0,0.0
3,U11,RANDOM,0,0.0
3,U11,SRC,8,0.5
3,U12,ERM,0,0.0
3,U12,OACI,0,0.0
3,U12,ORACLE,0,0.0
3,U12,RANDOM,0,0.0
3,U12,SRC,16,1.0
3,U13,ERM,0,0.0
3,U13,OACI,6,0.375
3,U13,ORACLE,0,0.0
3,U13,RANDOM,0,0.0
3,U13,SRC,10,0.625
3,U14,ERM,0,0.0
3,U14,OACI,11,0.6875
3,U14,ORACLE,0,0.0
3,U14,RANDOM,0,0.0
3,U14,SRC,5,0.3125
3,U15,ERM,0,0.0
3,U15,OACI,0,0.0
3,U15,ORACLE,0,0.0
3,U15,RANDOM,0,0.0
3,U15,SRC,16,1.0
3,B0,ERM,0,0.0
3,B0,OACI,0,0.0
3,B0,ORACLE,0,0.0
3,B0,RANDOM,16,1.0
3,B0,SRC,0,0.0
3,B5,ERM,0,0.0
3,B5,OACI,0,0.0
3,B5,ORACLE,16,1.0
3,B5,RANDOM,0,0.0
3,B5,SRC,0,0.0
4,B1,ERM,16,1.0
4,B1,OACI,0,0.0
4,B1,ORACLE,0,0.0
4,B1,RANDOM,0,0.0
4,B1,SRC,0,0.0
4,B2,ERM,0,0.0
4,B2,OACI,16,1.0
4,B2,ORACLE,0,0.0
4,B2,RANDOM,0,0.0
4,B2,SRC,0,0.0
4,B3,ERM,0,0.0
4,B3,OACI,0,0.0
4,B3,ORACLE,0,0.0
4,B3,RANDOM,0,0.0
4,B3,SRC,16,1.0
4,B4O,ERM,0,0.0
4,B4O,OACI,16,1.0
4,B4O,ORACLE,0,0.0
4,B4O,RANDOM,0,0.0
4,B4O,SRC,0,0.0
4,B4S,ERM,0,0.0
4,B4S,OACI,0,0.0
4,B4S,ORACLE,0,0.0
4,B4S,RANDOM,0,0.0
4,B4S,SRC,16,1.0
4,S1,ERM,0,0.0
4,S1,OACI,0,0.0
4,S1,ORACLE,0,0.0
4,S1,RANDOM,0,0.0
4,S1,SRC,16,1.0
4,S2,ERM,0,0.0
4,S2,OACI,0,0.0
4,S2,ORACLE,0,0.0
4,S2,RANDOM,0,0.0
4,S2,SRC,16,1.0
4,U1,ERM,0,0.0
4,U1,OACI,5,0.3125
4,U1,ORACLE,0,0.0
4,U1,RANDOM,0,0.0
4,U1,SRC,11,0.6875
4,U2,ERM,0,0.0
4,U2,OACI,6,0.375
4,U2,ORACLE,0,0.0
4,U2,RANDOM,0,0.0
4,U2,SRC,10,0.625
4,U3,ERM,0,0.0
4,U3,OACI,10,0.625
4,U3,ORACLE,0,0.0
4,U3,RANDOM,0,0.0
4,U3,SRC,6,0.375
4,U4,ERM,0,0.0
4,U4,OACI,0,0.0
4,U4,ORACLE,0,0.0
4,U4,RANDOM,0,0.0
4,U4,SRC,16,1.0
4,U5,ERM,0,0.0
4,U5,OACI,0,0.0
4,U5,ORACLE,0,0.0
4,U5,RANDOM,0,0.0
4,U5,SRC,16,1.0
4,U6,ERM,0,0.0
4,U6,OACI,0,0.0
4,U6,ORACLE,0,0.0
4,U6,RANDOM,0,0.0
4,U6,SRC,16,1.0
4,U7,ERM,0,0.0
4,U7,OACI,6,0.375
4,U7,ORACLE,0,0.0
4,U7,RANDOM,0,0.0
4,U7,SRC,10,0.625
4,U11,ERM,1,0.0625
4,U11,OACI,7,0.4375
4,U11,ORACLE,0,0.0
4,U11,RANDOM,0,0.0
4,U11,SRC,8,0.5
4,U12,ERM,0,0.0
4,U12,OACI,0,0.0
4,U12,ORACLE,0,0.0
4,U12,RANDOM,0,0.0
4,U12,SRC,16,1.0
4,U13,ERM,1,0.0625
4,U13,OACI,4,0.25
4,U13,ORACLE,0,0.0
4,U13,RANDOM,0,0.0
4,U13,SRC,11,0.6875
4,U14,ERM,0,0.0
4,U14,OACI,13,0.8125
4,U14,ORACLE,0,0.0
4,U14,RANDOM,0,0.0
4,U14,SRC,3,0.1875
4,U15,ERM,0,0.0
4,U15,OACI,0,0.0
4,U15,ORACLE,0,0.0
4,U15,RANDOM,0,0.0
4,U15,SRC,16,1.0
4,B0,ERM,0,0.0
4,B0,OACI,0,0.0
4,B0,ORACLE,0,0.0
4,B0,RANDOM,16,1.0
4,B0,SRC,0,0.0
4,B5,ERM,0,0.0
4,B5,OACI,0,0.0
4,B5,ORACLE,16,1.0
4,B5,RANDOM,0,0.0
4,B5,SRC,0,0.0
