seed,method_id,information_class,mean_standardized_regret
3,B1,I0,0.514146369187663
3,B2,I0,0.38275474312529983
3,B3,I0,0.5875927158017974
3,B4O,I0,0.36685361869431765
3,B4S,I0,0.6694283702277943
3,S1,IS,0.7794759728707445
3,S2,IS,0.7458422347149141
3,U1,IU,0.9507639950753006
3,U2,IU,0.9507639950753006
3,U3,IU,0.7823694148715953
3,U4,IU,0.7438539057439516
3,U5,IU,0.763311452913763
3,U6,ISU,0.7706043707603751
3,U7,ISU,0.6415178176313072
3,U11,IU,0.9461808356169957
3,U12,ISU,0.7341894679164005
3,U13,ISU,0.33864056415217253
3,U14,IU,0.7622112039203117
3,U15,ISU,0.7794759728707445
3,B0,I0,0.48198217863506276
3,B5,IOr,0.0
4,B1,I0,0.4236039414725074
4,B2,I0,0.35048034859056487
4,B3,I0,0.5524925321886625
4,B4O,I0,0.43622598833231857
4,B4S,I0,0.6653223898433219
4,S1,IS,0.8048232601796825
4,S2,IS,0.7511831739965471
4,U1,IU,0.8929213720555298
4,U2,IU,0.9036117710186337
4,U3,IU,0.821105690726313
4,U4,IU,0.7477983367700073
4,U5,IU,0.7661732914334574
4,U6,ISU,0.8328870248791298
4,U7,ISU,0.7209056660389691
4,U11,IU,0.8741790516622012
4,U12,ISU,0.725759671344317
4,U13,ISU,0.4653350333230629
4,U14,IU,0.6610950733080356
4,U15,ISU,0.8048232601796825
4,B0,I0,0.4975837803416094
4,B5,IOr,0.0
