check_id,check,passed,blocking,evidence
FR01,main_report_exists,1,0,C82_POST_C81_BASELINE_RECOVERY_md
FR02,machine_result_exists,1,0,C82_POST_C81_BASELINE_RECOVERY_json
FR03,machine_result_hash_replays,1,0,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7
FR04,artifact_manifest_hash_replays,1,0,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2
FR05,primary_gate_exact,1,0,C82_D
FR06,C81_gate_unchanged,1,0,C81_E
FR07,C80_result_not_rewritten,1,0,latest_pre_C82_science_preserved
FR08,post_C81_outcome_access_disclosed,1,0,report_scientific_status
FR09,independent_confirmation_false,1,0,machine_result_false
FR10,external_validity_false,1,0,machine_result_false
FR11,direct_authorization_record_committed,1,0,5644157
FR12,authorization_consumption_hash_replays,1,0,e336d8afb38140242108b60fe43846c7ff4b374227403bd602ac5079b31f93e0
FR13,authorization_same_identity_rerun_closed,1,0,false
FR14,pre_adapter_attempt_preserved,1,0,895213
FR15,pre_adapter_attempt_zero_outcome_access,1,0,0
FR16,successful_execution_job_preserved,1,0,895214
FR17,successful_execution_stderr_empty,1,0,0_bytes
FR18,only_one_scientific_execution,1,0,895214
FR19,frozen_selection_identity_exact,1,0,4677ed3a_and_1ed893ac
FR20,selection_recomputation_zero,1,0,false
FR21,contexts_complete,1,0,32
FR22,selection_methods_complete,1,0,19
FR23,method_context_rows_complete,1,0,672
FR24,registered_tables_complete,1,0,23
FR25,table_hash_replay_complete,1,0,23_of_23
FR26,table_row_replay_complete,1,0,23_of_23
FR27,Q1_path_count_complete,1,0,12
FR28,Q2_path_count_complete,1,0,12
FR29,seed3_U13_Q1_only_pass_reported,1,0,one_Q1_pass
FR30,seed4_Q1_no_pass_reported,1,0,zero_Q1_pass
FR31,Q2_no_pass_both_seeds_reported,1,0,zero_Q2_pass
FR32,A_intersection_empty_reported,1,0,NONE
FR33,B_intersection_empty_reported,1,0,NONE
FR34,seed_categories_reported_separately,1,0,B_and_C
FR35,same_method_identity_rule_preserved,1,0,method_intersection_logic
FR36,LOTO_preservation_exact,1,0,7_of_16
FR37,LOTO_threshold_failure_reported,1,0,7_less_than_12
FR38,Q3_objective_dependence_not_hidden,1,0,regret_and_topk_table
FR39,Q5_information_class_boundary_preserved,1,0,field_specific_only
FR40,U16_diagnostic_secondary_only,1,0,no_primary_taxonomy_entry
FR41,LORO_nonoperative_disclosed,1,0,no_cross_regime_claim
FR42,measurement_not_substituted_for_decision,1,0,evidence_ladder_preserved
FR43,target_is_principal_cluster,1,0,no_672_row_pseudoreplication
FR44,seed_is_paired_factor,1,0,no_population_replication_claim
FR45,target4_primary_zero,1,0,672_rows_checked
FR46,same_label_oracle_zero,1,0,672_rows_checked
FR47,construction_label_content_not_reopened,1,0,C80_Q0_artifacts_only
FR48,accepted_regressions_green_and_stderr_empty,1,0,4_of_4
FR49,no_Git_payload_over_50MiB,1,0,scan_zero
FR50,no_C82_jobs_or_C83_authorization,1,0,active_jobs_zero_and_stop_for_PM
