seed,method_id,target_count,mean_regret_improvement_vs_source,Q1_simultaneous_lower,Q1_maxT_p,Q1_favorable_targets,Q1_worst_target,Q1_pass,mean_regret_difference_vs_Q0_B1,Q2_simultaneous_upper,Q2_maxT_p,Q2_favorable_targets,Q2_worst_target,Q2_pass
3,U7,8,0.1379581552394373,-0.01943114028848414,0.7120622568093385,6,-0.14734569875279813,0,0.2881346312994988,0.44740551743036294,1.0,1,0.5710353388619231,0
3,U5,8,0.01616451995698158,-0.14122477557093982,1.0,5,-0.062229740550929,0,0.40992826658195447,0.5691991527128186,1.0,0,0.49649092916437454,0
3,U11,8,-0.16670486274625124,-0.32409415827417265,1.0,0,-0.28301100970592485,0,0.5927976492851872,0.7520685354160513,1.0,0,0.6808314978915727,0
3,U13,8,0.440835408718572,0.2834461131906506,0.01556420233463035,8,0.16688514671775734,1,-0.014742622179635945,0.1445282639512282,0.5175097276264592,6,0.2859213404854039,0
3,U14,8,0.01726476895043287,-0.14012452657748853,1.0,4,-0.28301100970592485,0,0.4088280175885032,0.5680989037193673,1.0,0,0.6551843289652459,0
3,U15,8,0.0,-0.1573892955279214,1.0,0,0.0,0,0.42609278653893606,0.5853636726698002,1.0,0,0.5523940352966216,0
4,U7,8,0.08391759414071356,-0.07347170138720785,0.9727626459143969,5,-0.15844473733760134,0,0.3472005847390712,0.5064714708699354,1.0,1,0.5370416490759156,0
4,U5,8,0.03864996874622531,-0.1187393267816961,1.0,3,-0.07688466215042555,0,0.3924682101335594,0.5517390962644235,1.0,0,0.5004751283757769,0
4,U11,8,-0.06935579148251851,-0.22674508701043994,1.0,3,-0.27121069478440984,0,0.5004739703623033,0.6597448564931674,1.0,0,0.6679046151885237,0
4,U13,8,0.3394882268566197,0.1820989313286983,0.10116731517509728,7,-0.07688466215042555,0,0.09162995202316504,0.2509008381540292,1.0,4,0.47272535320452286,0
4,U14,8,0.14372818687164696,-0.013661108656274457,0.6264591439688716,7,-0.06988326115609111,0,0.2873899920081378,0.44666087813900196,1.0,0,0.6285328572791195,0
4,U15,8,0.0,-0.1573892955279214,1.0,0,0.0,0,0.43111817887978476,0.5903890650106489,1.0,0,0.6778199762565039,0
