tag,rotation,source_subjects,val_subject,test_subject,downstream_seed,epochs_run,selected_epoch,selection_metric,selected_val_kappa,selected_val_nll,encoder_frozen,encoder_optimizer_created
random,0,3;4;5;6;7;8;9;10,1,2,0,50,12,source_val_kappa_only,0.5955237004422438,0.7828989124543798,True,False
random,0,3;4;5;6;7;8;9;10,1,2,1,50,18,source_val_kappa_only,0.6223803591968423,0.7758257931073378,True,False
random,0,3;4;5;6;7;8;9;10,1,2,2,50,11,source_val_kappa_only,0.5957153802297829,0.783763290154575,True,False
random,1,1;4;5;6;7;8;9;10,2,3,0,50,23,source_val_kappa_only,0.4199119506296932,1.1044716346756225,True,False
random,1,1;4;5;6;7;8;9;10,2,3,1,50,13,source_val_kappa_only,0.4120306010183281,1.049242898349272,True,False
random,1,1;4;5;6;7;8;9;10,2,3,2,50,5,source_val_kappa_only,0.42751427572544,1.050851953789172,True,False
random,2,1;2;5;6;7;8;9;10,3,4,0,50,44,source_val_kappa_only,0.5843541208958695,0.7997099770832062,True,False
random,2,1;2;5;6;7;8;9;10,3,4,1,50,6,source_val_kappa_only,0.5778733348278275,0.8268716405570399,True,False
random,2,1;2;5;6;7;8;9;10,3,4,2,50,10,source_val_kappa_only,0.5684190392917645,0.7658206046698897,True,False
random,3,1;2;3;6;7;8;9;10,4,5,0,50,7,source_val_kappa_only,0.5342452321419817,0.9730036997777257,True,False
random,3,1;2;3;6;7;8;9;10,4,5,1,50,19,source_val_kappa_only,0.5431464051253658,0.9557942163615546,True,False
random,3,1;2;3;6;7;8;9;10,4,5,2,50,19,source_val_kappa_only,0.5505709624796085,0.9638522107772636,True,False
random,4,1;2;3;4;7;8;9;10,5,6,0,50,15,source_val_kappa_only,0.6449176674507862,0.7830239086112847,True,False
random,4,1;2;3;4;7;8;9;10,5,6,1,50,17,source_val_kappa_only,0.6027694951230606,0.7749240070646419,True,False
random,4,1;2;3;4;7;8;9;10,5,6,2,50,7,source_val_kappa_only,0.5969925438413797,0.7820312187841392,True,False
random,5,1;2;3;4;5;8;9;10,6,7,0,50,20,source_val_kappa_only,0.5020487379733735,0.9412472952514549,True,False
random,5,1;2;3;4;5;8;9;10,6,7,1,50,19,source_val_kappa_only,0.5044009597698486,0.9576188278773443,True,False
random,5,1;2;3;4;5;8;9;10,6,7,2,50,15,source_val_kappa_only,0.48968705547652913,0.9459029825388215,True,False
random,6,1;2;3;4;5;6;9;10,7,8,0,50,16,source_val_kappa_only,0.5848452462922051,0.8066908635274431,True,False
random,6,1;2;3;4;5;6;9;10,7,8,1,50,10,source_val_kappa_only,0.5976261590681503,0.8184096927917027,True,False
random,6,1;2;3;4;5;6;9;10,7,8,2,50,9,source_val_kappa_only,0.5757147446193382,0.7941908211506477,True,False
random,7,1;2;3;4;5;6;7;10,8,9,0,50,17,source_val_kappa_only,0.6855902790357291,0.6156143958263806,True,False
random,7,1;2;3;4;5;6;7;10,8,9,1,50,7,source_val_kappa_only,0.6794648536781236,0.6308276276532528,True,False
random,7,1;2;3;4;5;6;7;10,8,9,2,50,17,source_val_kappa_only,0.6641600137601105,0.6415288231941965,True,False
random,8,1;2;3;4;5;6;7;8,9,10,0,50,7,source_val_kappa_only,0.4993659777798306,0.991427555777171,True,False
random,8,1;2;3;4;5;6;7;8,9,10,1,50,18,source_val_kappa_only,0.49099929822270816,0.9499963048011982,True,False
random,8,1;2;3;4;5;6;7;8,9,10,2,50,27,source_val_kappa_only,0.4985342896456372,1.0485395364992764,True,False
random,9,2;3;4;5;6;7;8;9,10,1,0,50,15,source_val_kappa_only,0.4870002886654323,0.9795395937457927,True,False
random,9,2;3;4;5;6;7;8;9,10,1,1,50,19,source_val_kappa_only,0.4386877728294898,1.1571666727380814,True,False
random,9,2;3;4;5;6;7;8;9,10,1,2,50,18,source_val_kappa_only,0.45868234077152015,1.0035112118604803,True,False
