tag,rotation,subject_nll,subject_accuracy_diagnostic,pairwise_subject_auc,pairwise_subject_margin
H1000_s0,0,0.23854288243551713,0.9580838323353293,0.9984502599201353,0.958946847489902
H1000_s0,1,0.24507843365361132,0.9530791788856305,0.9981772743696145,0.9510773079735892
H1000_s0,2,0.2984654280662996,0.9310344827586207,0.9962829911918344,0.9408425124628204
H1000_s0,3,0.3089915417340573,0.9444444444444444,0.9944584505131144,0.9467900086726461
H1000_s0,4,0.3037368761699602,0.9321533923303835,0.9981503745060591,0.94931047303336
H1000_s0,5,0.22447136379787755,0.9565217391304348,0.9988903521154666,0.9539945083005088
H1000_s0,6,0.18749929414196229,0.9792899408284024,0.9997455347855805,0.9578777849674225
H1000_s0,7,0.21757388591921553,0.9667673716012085,0.9988820247258463,0.9517799573285239
H1000_s0,8,0.1923604532314401,0.9794721407624634,0.9997585366578502,0.9596586248704365
H1000_s0,9,0.18489686618112589,0.9765395894428153,0.9998439775327647,0.9636871942452022
