tag,rotation,subject_nll,subject_accuracy_diagnostic,pairwise_subject_auc,pairwise_subject_margin
H500_s1,0,0.23455554769491968,0.9520958083832335,0.998857790409037,0.9615274391004017
H500_s1,1,0.28884944396216305,0.9472140762463344,0.998313862459352,0.9521288105419704
H500_s1,2,0.29147975481650207,0.9482758620689655,0.998855297568865,0.947697357407638
H500_s1,3,0.36556532383494816,0.9093567251461988,0.99692815696538,0.941097331898553
H500_s1,4,0.31511297769567176,0.9498525073746312,0.9962460433901479,0.9489397097911153
H500_s1,5,0.32559917577486397,0.9449275362318841,0.9964216990103719,0.9424849599599838
H500_s1,6,0.24205617634039206,0.9615384615384616,0.9994594935956492,0.9508689280067172
H500_s1,7,0.24701819761210136,0.9637462235649547,0.9993666230794377,0.9506915573562894
H500_s1,8,0.24596645866203443,0.9560117302052786,0.999510587857985,0.9521326571702957
H500_s1,9,0.20177060510833408,0.9648093841642229,0.9995977158806105,0.9613125941583088
