tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
H1000_s0,1,0.5674634815620948,0.5215444845722967,0.04591899698979807,0.006539542090995608,0.03937945489880246,0.004975124378109453
H1000_s0,2,0.5959347099507397,0.5495000782353497,0.046434631715389973,0.006759597707437186,0.03967503400795279,0.004975124378109453
H1000_s0,3,0.6079210056111966,0.5626620382859586,0.04525896732523793,0.007698237401082387,0.037560729924155545,0.004975124378109453
H1000_s0,4,0.5903606278708767,0.5564395146837912,0.03392111318708557,0.005748448205668295,0.028172664981417277,0.009950248756218905
H1000_s0,5,0.569735738676252,0.527166080200103,0.04256965847614902,0.006321399141050285,0.03624825933509873,0.004975124378109453
H1000_s0,6,0.6062367292309673,0.579481626063588,0.02675510316737928,0.008486895195284167,0.018268207972095114,0.029850746268656716
H1000_s0,7,0.5696236292973385,0.5306887285913787,0.03893490070595973,0.005593125641250858,0.033341775064708874,0.014925373134328358
H1000_s0,8,0.5605621535396667,0.5169378697004599,0.0436242838392068,0.008261950219333009,0.035362333619873794,0.004975124378109453
H1000_s0,9,0.606586559139821,0.577254465313038,0.029332093826782923,0.006855397730204824,0.0224766960965781,0.009950248756218905
H1000_s0,10,0.5769628488436392,0.5368164289033117,0.04014641994032753,0.005549944395408,0.03459647554491953,0.004975124378109453
