tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
H2000_s1,1,0.6200363795147262,0.576145980299014,0.04389039921571225,0.0098130941728377,0.03407730504287455,0.009950248756218905
H2000_s1,2,0.6604762758143776,0.6045318495504355,0.05594442626394214,0.01069364450573608,0.04525078175820606,0.004975124378109453
H2000_s1,3,0.6473570264084415,0.6118090877495301,0.03554793865891137,0.010682423345308991,0.024865515313602378,0.014925373134328358
H2000_s1,4,0.6433340770681778,0.6014889894341258,0.041845087634052036,0.008380054421682326,0.03346503321236971,0.009950248756218905
H2000_s1,5,0.6291414834793649,0.5900703217901888,0.039071161689176126,0.00905812600204307,0.030013035687133056,0.009950248756218905
H2000_s1,6,0.6462283765482022,0.6182217894106082,0.028006587137593963,0.009972013661206532,0.01803457347638743,0.05472636815920398
H2000_s1,7,0.6334348462585445,0.588513029922107,0.04492181633643755,0.009788488310066575,0.03513332802637097,0.009950248756218905
H2000_s1,8,0.6114497862358337,0.5640813312548665,0.0473684549809672,0.010517428032106632,0.03685102694886057,0.009950248756218905
H2000_s1,9,0.6474255092303547,0.6058911450600982,0.041534364170256466,0.010929366643826368,0.030604997526430096,0.009950248756218905
H2000_s1,10,0.6370076971857065,0.5939856399415708,0.04302205724413566,0.007572396376016155,0.0354496608681195,0.009950248756218905
