tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
H1000_s1,1,0.6117098460321803,0.5904083093306194,0.021301536701560875,0.011438192864354983,0.009863343837205892,0.12935323383084577
H1000_s1,2,0.6431841043182089,0.619959741353275,0.02322436296493391,0.011264986706733855,0.011959376258200054,0.1044776119402985
H1000_s1,3,0.6267200283364698,0.6059708661418702,0.020749162194599546,0.009988833352955613,0.010760328841643933,0.0945273631840796
H1000_s1,4,0.6287134250007457,0.6116780213089696,0.01703540369177603,0.010895944577635026,0.006139459114141004,0.24875621890547264
H1000_s1,5,0.614353817232093,0.5900490708824657,0.024304746349627315,0.01187138532242069,0.012433361027206625,0.09950248756218906
H1000_s1,6,0.6400005667165399,0.6362688826773517,0.003731684039188221,0.011844454758081165,-0.008112770718892943,0.8159203980099502
H1000_s1,7,0.6150052144649154,0.5995551686162814,0.015450045848633964,0.00962606238548761,0.005823983463146354,0.263681592039801
H1000_s1,8,0.6109323966354272,0.5864892164833972,0.024443180152029953,0.012324620997073179,0.012118559154956774,0.0945273631840796
H1000_s1,9,0.6428426682038211,0.6099078276746537,0.0329348405291674,0.014182003659827776,0.018752836869339623,0.014925373134328358
H1000_s1,10,0.6213814188568834,0.6038831643807541,0.017498254476129294,0.006456514146094723,0.01104174033003457,0.1044776119402985
