budget,top1_hit,top3_hit,continuous_regret,coverage_regret_le_0p02,actionability_status
0,0.011251,0.033507,0.084569,0.0,partial_or_weak
1,0.025267,0.062412,0.074892,0.021267,partial_or_weak
2,0.034415,0.083191,0.069442,0.040799,partial_or_weak
4,0.043036,0.102221,0.064464,0.06684,partial_or_weak
8,0.050749,0.123617,0.056633,0.099392,partial_or_weak
12,0.065205,0.152593,0.051907,0.123698,partial_or_weak
16,0.067479,0.174825,0.050366,0.139757,partial_or_weak
24,0.099042,0.213071,0.045921,0.203993,partial_or_weak
32,0.112399,0.248198,0.042775,0.258247,partial_or_weak
48,0.170262,0.30292,0.038832,0.347656,partial_or_weak
64,0.236762,0.290885,0.036392,0.434028,partial_or_weak
full-construction,0.222222,0.333333,0.036904,0.444444,partial_or_weak
